run,flow_id,current_volume_error_pct,archived_volume_error_pct,current_nmae_pct,archived_nmae_pct
1,1001,0.000139,0.000100,3.705932,3.879600
2,2001,0.000096,0.000100,4.531354,4.510800
3,3001,0.014820,0.014800,4.068157,4.166700
4,4001,0.002959,0.003000,3.634381,3.904300
5,5001,0.012042,0.012000,3.837924,3.117500
5,5002,0.000204,0.000200,4.235152,4.622300
6,6001,0.181870,0.181900,6.194319,6.043400
7,7001,0.008547,0.008500,3.625488,3.769400
7,7002,0.153743,0.153700,6.325230,7.205100
8,8001,0.033802,0.033800,4.045053,4.288200
8,8002,0.003886,0.003900,4.597854,4.938500
8,8003,0.109964,0.110000,6.299299,6.921700
