flow_id,flow_label,start_seconds,end_seconds,received_gbit
4001,LBNL2->STAR2 vlan4012,0.00,1.00,33.500744909
4001,LBNL2->STAR2 vlan4012,1.00,2.00,33.844342292
4001,LBNL2->STAR2 vlan4012,2.00,3.00,33.500744909
4001,LBNL2->STAR2 vlan4012,3.00,4.00,33.500744909
4001,LBNL2->STAR2 vlan4012,4.00,5.00,33.500744909
4001,LBNL2->STAR2 vlan4012,5.00,6.00,33.328946217
4001,LBNL2->STAR2 vlan4012,6.00,7.00,33.243046871
4001,LBNL2->STAR2 vlan4012,7.00,8.00,33.071248179
4001,LBNL2->STAR2 vlan4012,8.00,9.00,32.727650796
4001,LBNL2->STAR2 vlan4012,9.00,10.00,32.469952758
4001,LBNL2->STAR2 vlan4012,10.00,11.00,32.469952758
4001,LBNL2->STAR2 vlan4012,11.00,12.00,32.555852104
4001,LBNL2->STAR2 vlan4012,12.00,13.00,32.384053412
4001,LBNL2->STAR2 vlan4012,13.00,14.00,32.212254720
4001,LBNL2->STAR2 vlan4012,14.00,15.00,32.040456028
4001,LBNL2->STAR2 vlan4012,15.00,16.00,31.610959299
4001,LBNL2->STAR2 vlan4012,16.00,17.00,31.525059953
4001,LBNL2->STAR2 vlan4012,17.00,18.00,31.353261261
4001,LBNL2->STAR2 vlan4012,18.00,19.00,31.267361915
4001,LBNL2->STAR2 vlan4012,19.00,20.00,31.353261261
4001,LBNL2->STAR2 vlan4012,20.00,21.00,31.525059953
4001,LBNL2->STAR2 vlan4012,21.00,22.00,31.525059953
4001,LBNL2->STAR2 vlan4012,22.00,23.00,31.439160607
4001,LBNL2->STAR2 vlan4012,23.00,24.00,30.751965839
4001,LBNL2->STAR2 vlan4012,24.00,25.00,30.923764531
4001,LBNL2->STAR2 vlan4012,25.00,26.00,30.923764531
4001,LBNL2->STAR2 vlan4012,26.00,27.00,31.009663877
4001,LBNL2->STAR2 vlan4012,27.00,28.00,30.923764531
4001,LBNL2->STAR2 vlan4012,28.00,29.00,31.009663877
4001,LBNL2->STAR2 vlan4012,29.00,30.00,31.181462569
4001,LBNL2->STAR2 vlan4012,30.00,31.00,31.181462569
4001,LBNL2->STAR2 vlan4012,31.00,32.00,31.267361915
4001,LBNL2->STAR2 vlan4012,32.00,33.00,31.353261261
4001,LBNL2->STAR2 vlan4012,33.00,34.00,31.095563223
4001,LBNL2->STAR2 vlan4012,34.00,35.00,30.837865185
4001,LBNL2->STAR2 vlan4012,35.00,36.00,30.751965839
4001,LBNL2->STAR2 vlan4012,36.00,37.00,30.408368456
4001,LBNL2->STAR2 vlan4012,37.00,38.00,30.322469110
4001,LBNL2->STAR2 vlan4012,38.00,39.00,30.322469110
4001,LBNL2->STAR2 vlan4012,39.00,40.00,30.322469110
4001,LBNL2->STAR2 vlan4012,40.00,41.00,30.408368456
4001,LBNL2->STAR2 vlan4012,41.00,42.00,30.236569764
4001,LBNL2->STAR2 vlan4012,42.00,43.00,30.236569764
4001,LBNL2->STAR2 vlan4012,43.00,44.00,29.978871726
4001,LBNL2->STAR2 vlan4012,44.00,45.00,29.978871726
4001,LBNL2->STAR2 vlan4012,45.00,46.00,30.064771072
4001,LBNL2->STAR2 vlan4012,46.00,47.00,30.150670418
4001,LBNL2->STAR2 vlan4012,47.00,48.00,29.549374996
4001,LBNL2->STAR2 vlan4012,48.00,49.00,29.377576305
4001,LBNL2->STAR2 vlan4012,49.00,50.00,29.549374996
4001,LBNL2->STAR2 vlan4012,50.00,51.00,30.150670418
4001,LBNL2->STAR2 vlan4012,51.00,52.00,30.064771072
4001,LBNL2->STAR2 vlan4012,52.00,53.00,30.150670418
4001,LBNL2->STAR2 vlan4012,53.00,54.00,30.064771072
4001,LBNL2->STAR2 vlan4012,54.00,55.00,30.064771072
4001,LBNL2->STAR2 vlan4012,55.00,56.00,30.150670418
4001,LBNL2->STAR2 vlan4012,56.00,57.00,30.236569764
4001,LBNL2->STAR2 vlan4012,57.00,58.00,30.408368456
4001,LBNL2->STAR2 vlan4012,58.00,59.00,30.236569764
4001,LBNL2->STAR2 vlan4012,59.00,60.00,30.150670418
4001,LBNL2->STAR2 vlan4012,60.00,61.00,30.064771072
4001,LBNL2->STAR2 vlan4012,61.00,62.00,30.064771072
4001,LBNL2->STAR2 vlan4012,62.00,63.00,29.978871726
4001,LBNL2->STAR2 vlan4012,63.00,64.00,30.150670418
4001,LBNL2->STAR2 vlan4012,64.00,65.00,30.322469110
4001,LBNL2->STAR2 vlan4012,65.00,66.00,30.322469110
4001,LBNL2->STAR2 vlan4012,66.00,67.00,30.408368456
4001,LBNL2->STAR2 vlan4012,67.00,68.00,29.635274342
4001,LBNL2->STAR2 vlan4012,68.00,69.00,29.549374996
4001,LBNL2->STAR2 vlan4012,69.00,70.00,29.463475651
4001,LBNL2->STAR2 vlan4012,70.00,71.00,29.463475651
4001,LBNL2->STAR2 vlan4012,71.00,72.00,29.291676959
4001,LBNL2->STAR2 vlan4012,72.00,73.00,29.119878267
4001,LBNL2->STAR2 vlan4012,73.00,74.00,29.119878267
4001,LBNL2->STAR2 vlan4012,74.00,75.00,29.205777613
4001,LBNL2->STAR2 vlan4012,75.00,76.00,29.377576305
4001,LBNL2->STAR2 vlan4012,76.00,77.00,29.205777613
4001,LBNL2->STAR2 vlan4012,77.00,78.00,29.119878267
4001,LBNL2->STAR2 vlan4012,78.00,79.00,28.862180229
4001,LBNL2->STAR2 vlan4012,79.00,80.00,28.776280883
4001,LBNL2->STAR2 vlan4012,80.00,81.00,28.948079575
4001,LBNL2->STAR2 vlan4012,81.00,82.00,29.807073034
4001,LBNL2->STAR2 vlan4012,82.00,83.00,29.892972380
4001,LBNL2->STAR2 vlan4012,83.00,84.00,30.064771072
4001,LBNL2->STAR2 vlan4012,84.00,85.00,29.807073034
4001,LBNL2->STAR2 vlan4012,85.00,86.00,29.807073034
4001,LBNL2->STAR2 vlan4012,86.00,87.00,29.721173688
4001,LBNL2->STAR2 vlan4012,87.00,88.00,29.721173688
4001,LBNL2->STAR2 vlan4012,88.00,89.00,29.721173688
4001,LBNL2->STAR2 vlan4012,89.00,90.00,29.892972380
4001,LBNL2->STAR2 vlan4012,90.00,91.00,29.892972380
4001,LBNL2->STAR2 vlan4012,91.00,92.00,30.064771072
4001,LBNL2->STAR2 vlan4012,92.00,93.00,29.978871726
4001,LBNL2->STAR2 vlan4012,93.00,94.00,29.721173688
4001,LBNL2->STAR2 vlan4012,94.00,95.00,29.635274342
4001,LBNL2->STAR2 vlan4012,95.00,96.00,29.635274342
4001,LBNL2->STAR2 vlan4012,96.00,97.00,29.635274342
4001,LBNL2->STAR2 vlan4012,97.00,98.00,29.721173688
4001,LBNL2->STAR2 vlan4012,98.00,99.00,29.807073034
4001,LBNL2->STAR2 vlan4012,99.00,100.00,29.892972380
4001,LBNL2->STAR2 vlan4012,100.00,101.00,29.635274342
4001,LBNL2->STAR2 vlan4012,101.00,102.00,29.635274342
4001,LBNL2->STAR2 vlan4012,102.00,103.00,29.635274342
4001,LBNL2->STAR2 vlan4012,103.00,104.00,29.549374996
4001,LBNL2->STAR2 vlan4012,104.00,105.00,29.635274342
4001,LBNL2->STAR2 vlan4012,105.00,106.00,29.721173688
