interval,flow_id,source_terminal,destination_terminal,offered_gbit
0,5001,0,1,3.109556322
1,5001,0,1,3.109556322
2,5001,0,1,3.109556322
3,5001,0,1,3.109556322
4,5001,0,1,3.109556322
5,5001,0,1,3.109556322
6,5001,0,1,3.109556322
7,5001,0,1,3.109556322
8,5001,0,1,3.109556322
9,5001,0,1,3.109556322
10,5001,0,1,3.126736191
11,5001,0,1,3.126736191
12,5001,0,1,3.126736191
13,5001,0,1,3.126736191
14,5001,0,1,3.126736191
15,5001,0,1,3.126736191
16,5001,0,1,3.126736191
17,5001,0,1,3.126736191
18,5001,0,1,3.126736191
19,5001,0,1,3.126736191
20,5001,0,1,3.100966388
21,5001,0,1,3.100966388
22,5001,0,1,3.100966388
23,5001,0,1,3.100966388
24,5001,0,1,3.100966388
25,5001,0,1,3.100966388
26,5001,0,1,3.100966388
27,5001,0,1,3.100966388
28,5001,0,1,3.100966388
29,5001,0,1,3.100966388
30,5001,0,1,3.058016715
31,5001,0,1,3.058016715
32,5001,0,1,3.058016715
33,5001,0,1,3.058016715
34,5001,0,1,3.058016715
35,5001,0,1,3.058016715
36,5001,0,1,3.058016715
37,5001,0,1,3.058016715
38,5001,0,1,3.058016715
39,5001,0,1,3.058016715
40,5001,0,1,2.997887173
41,5001,0,1,2.997887173
42,5001,0,1,2.997887173
43,5001,0,1,2.997887173
44,5001,0,1,2.997887173
45,5001,0,1,2.997887173
46,5001,0,1,2.997887173
47,5001,0,1,2.997887173
48,5001,0,1,2.997887173
49,5001,0,1,2.997887173
50,5001,0,1,2.954937500
51,5001,0,1,2.954937500
52,5001,0,1,2.954937500
53,5001,0,1,2.954937500
54,5001,0,1,2.954937500
55,5001,0,1,2.954937500
56,5001,0,1,2.954937500
57,5001,0,1,2.954937500
58,5001,0,1,2.954937500
59,5001,0,1,2.954937500
60,5001,0,1,2.946347565
61,5001,0,1,2.946347565
62,5001,0,1,2.946347565
63,5001,0,1,2.946347565
64,5001,0,1,2.946347565
65,5001,0,1,2.946347565
66,5001,0,1,2.946347565
67,5001,0,1,2.946347565
