interval,event,switch,switch_name,port,target_type,target_index,flowlet_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,1,10,0,0,3.35007,0
2,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,2,10,0,0,3.35007,0
3,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,3,10,0,0,3.35007,0
4,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,4,10,0,0,3.35007,0
5,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,5,10,0,0,3.35007,0
1,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,1,10,0,2,1.35007,0
1,enqueue_residual,0,VLAN4012,1,terminal,1,2001,0,1,0,1,10,0,0,1.35007,0
1,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,1,10,0,2,1.35007,0
1,enqueue_residual,0,VLAN4012,1,terminal,1,2001,0,1,0,1,10,0,0,1.35007,0
1,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,1,10,0,2,1.35007,0
1,enqueue_residual,0,VLAN4012,1,terminal,1,2001,0,1,0,1,10,0,0,1.35007,0
1,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,1,10,0,2,1.35007,0
1,enqueue_residual,0,VLAN4012,1,terminal,1,2001,0,1,0,1,10,0,0,1.35007,0
1,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,1,10,0,2,1.35007,0
1,enqueue_residual,0,VLAN4012,1,terminal,1,2001,0,1,0,1,10,0,0,1.35007,0
2,allocate_send_buffered,0,VLAN4012,1,terminal,1,2001,0,1,0,2,10,6.75037,6.75037,0,0
6,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,6,10,0,0,3.35007,0
2,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,2,10,0,3.24963,0.100447,0
2,enqueue_residual,0,VLAN4012,1,terminal,1,2001,0,1,0,2,10,0,0,0.100447,0
3,allocate_send_buffered,0,VLAN4012,1,terminal,1,2001,0,1,0,3,10,0.100447,0.100447,0,0
7,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,7,10,0,0,3.35007,0
8,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,8,10,0,0,3.35007,0
4,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,4,10,0,3.35007,0,0
4,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,4,10,0,3.35007,0,0
9,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,9,10,0,0,3.35007,0
5,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,5,10,0,3.35007,0,0
10,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,10,10,0,0,3.35007,0
6,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,6,10,0,3.35007,0,0
11,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,11,10,0,0,3.28994,0
7,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,7,10,0,3.28994,0,0
12,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,12,10,0,0,3.28994,0
13,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,13,10,0,0,3.28994,0
9,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,9,10,0,3.28994,0,0
9,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,9,10,0,3.28994,0,0
14,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,14,10,0,0,3.28994,0
10,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,10,10,0,3.28994,0,0
15,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,15,10,0,0,3.28994,0
11,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,11,10,0,3.28994,0,0
16,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,16,10,0,0,3.28994,0
12,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,12,10,0,3.28994,0,0
17,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,17,10,0,0,3.28994,0
14,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,14,10,0,3.28994,0,0
18,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,18,10,0,0,3.28994,0
15,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,15,10,0,3.28994,0,0
19,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,19,10,0,0,3.28994,0
16,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,16,10,0,3.28994,0,0
20,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,20,10,0,0,3.28994,0
17,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,17,10,0,3.28994,0,0
21,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,21,10,0,0,3.27277,0
18,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,18,10,0,3.27277,0,0
22,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,22,10,0,0,3.27277,0
19,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,19,10,0,3.27277,0,0
23,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,23,10,0,0,3.27277,0
20,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,20,10,0,3.27277,0,0
24,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,24,10,0,0,3.27277,0
21,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,21,10,0,3.27277,0,0
25,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,25,10,0,0,3.27277,0
26,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,26,10,0,0,3.27277,0
22,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,22,10,0,3.27277,0,0
22,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,22,10,0,3.27277,0,0
27,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,27,10,0,0,3.27277,0
23,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,23,10,0,3.27277,0,0
28,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,28,10,0,0,3.27277,0
25,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,25,10,0,3.27277,0,0
29,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,29,10,0,0,3.27277,0
26,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,26,10,0,3.27277,0,0
30,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,30,10,0,0,3.27277,0
31,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,31,10,0,0,3.27277,0
27,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,27,10,0,3.27277,0,0
27,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,27,10,0,3.27277,0,0
32,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,32,10,0,0,3.27277,0
28,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,28,10,0,3.27277,0,0
33,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,33,10,0,0,3.27277,0
30,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,30,10,0,3.27277,0,0
34,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,34,10,0,0,3.27277,0
35,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,35,10,0,0,3.27277,0
31,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,31,10,0,3.27277,0,0
31,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,31,10,0,3.27277,0,0
36,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,36,10,0,0,3.27277,0
37,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,37,10,0,0,3.27277,0
33,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,33,10,0,3.27277,0,0
33,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,33,10,0,3.27277,0,0
