interval,event,switch,switch_name,port,target_type,target_index,capacity_gbit,queued_before_gbit,sent_gbit,queued_after_gbit,shared_queued_before_gbit,shared_queued_after_gbit,shared_buffer_gbit,dropped_gbit,active_queue_entries
1,egress,0,VLAN4012,1,terminal,1,10,0,10,3.4003,0,3.4003,100,0,1
2,egress,0,VLAN4012,1,terminal,1,10,3.4003,3.4003,0,3.4003,0,100,0,0
2,egress,0,VLAN4012,1,terminal,1,10,0,3.35007,0,0,0,100,0,0
3,egress,0,VLAN4012,1,terminal,1,10,0,3.35007,0,0,0,100,0,0
4,egress,0,VLAN4012,1,terminal,1,10,0,3.35007,0,0,0,100,0,0
5,egress,0,VLAN4012,1,terminal,1,10,0,6.70015,0,0,0,100,0,0
6,egress,0,VLAN4012,1,terminal,1,10,0,3.35007,0,0,0,100,0,0
7,egress,0,VLAN4012,1,terminal,1,10,0,3.28994,0,0,0,100,0,0
8,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
9,egress,0,VLAN4012,1,terminal,1,10,0,3.28994,0,0,0,100,0,0
10,egress,0,VLAN4012,1,terminal,1,10,0,6.57989,0,0,0,100,0,0
11,egress,0,VLAN4012,1,terminal,1,10,0,3.28994,0,0,0,100,0,0
12,egress,0,VLAN4012,1,terminal,1,10,0,3.28994,0,0,0,100,0,0
13,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
14,egress,0,VLAN4012,1,terminal,1,10,0,3.28994,0,0,0,100,0,0
15,egress,0,VLAN4012,1,terminal,1,10,0,6.57989,0,0,0,100,0,0
16,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
17,egress,0,VLAN4012,1,terminal,1,10,0,3.28994,0,0,0,100,0,0
18,egress,0,VLAN4012,1,terminal,1,10,0,3.27277,0,0,0,100,0,0
19,egress,0,VLAN4012,1,terminal,1,10,0,3.27277,0,0,0,100,0,0
20,egress,0,VLAN4012,1,terminal,1,10,0,3.27277,0,0,0,100,0,0
21,egress,0,VLAN4012,1,terminal,1,10,0,3.27277,0,0,0,100,0,0
22,egress,0,VLAN4012,1,terminal,1,10,0,3.27277,0,0,0,100,0,0
23,egress,0,VLAN4012,1,terminal,1,10,0,6.54553,0,0,0,100,0,0
24,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
25,egress,0,VLAN4012,1,terminal,1,10,0,3.27277,0,0,0,100,0,0
26,egress,0,VLAN4012,1,terminal,1,10,0,6.54553,0,0,0,100,0,0
27,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
28,egress,0,VLAN4012,1,terminal,1,10,0,3.27277,0,0,0,100,0,0
29,egress,0,VLAN4012,1,terminal,1,10,0,6.54553,0,0,0,100,0,0
30,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
31,egress,0,VLAN4012,1,terminal,1,10,0,6.54553,0,0,0,100,0,0
32,egress,0,VLAN4012,1,terminal,1,10,0,3.27277,0,0,0,100,0,0
33,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
34,egress,0,VLAN4012,1,terminal,1,10,0,6.54553,0,0,0,100,0,0
35,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
36,egress,0,VLAN4012,1,terminal,1,10,0,6.54553,0,0,0,100,0,0
37,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
38,egress,0,VLAN4012,1,terminal,1,10,0,3.247,0,0,0,100,0,0
39,egress,0,VLAN4012,1,terminal,1,10,0,6.49399,0,0,0,100,0,0
40,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
41,egress,0,VLAN4012,1,terminal,1,10,0,3.247,0,0,0,100,0,0
42,egress,0,VLAN4012,1,terminal,1,10,0,3.247,0,0,0,100,0,0
43,egress,0,VLAN4012,1,terminal,1,10,0,3.247,0,0,0,100,0,0
44,egress,0,VLAN4012,1,terminal,1,10,0,3.247,0,0,0,100,0,0
45,egress,0,VLAN4012,1,terminal,1,10,0,3.247,0,0,0,100,0,0
46,egress,0,VLAN4012,1,terminal,1,10,0,3.247,0,0,0,100,0,0
47,egress,0,VLAN4012,1,terminal,1,10,0,3.247,0,0,0,100,0,0
48,egress,0,VLAN4012,1,terminal,1,10,0,3.20405,0,0,0,100,0,0
49,egress,0,VLAN4012,1,terminal,1,10,0,3.20405,0,0,0,100,0,0
50,egress,0,VLAN4012,1,terminal,1,10,0,3.20405,0,0,0,100,0,0
51,egress,0,VLAN4012,1,terminal,1,10,0,6.40809,0,0,0,100,0,0
52,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
53,egress,0,VLAN4012,1,terminal,1,10,0,6.40809,0,0,0,100,0,0
54,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
55,egress,0,VLAN4012,1,terminal,1,10,0,3.20405,0,0,0,100,0,0
56,egress,0,VLAN4012,1,terminal,1,10,0,6.40809,0,0,0,100,0,0
57,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
58,egress,0,VLAN4012,1,terminal,1,10,0,6.39091,0,0,0,100,0,0
59,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
60,egress,0,VLAN4012,1,terminal,1,10,0,3.19546,0,0,0,100,0,0
61,egress,0,VLAN4012,1,terminal,1,10,0,6.39091,0,0,0,100,0,0
62,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
63,egress,0,VLAN4012,1,terminal,1,10,0,6.39091,0,0,0,100,0,0
64,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
65,egress,0,VLAN4012,1,terminal,1,10,0,3.19546,0,0,0,100,0,0
66,egress,0,VLAN4012,1,terminal,1,10,0,6.39091,0,0,0,100,0,0
67,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
68,egress,0,VLAN4012,1,terminal,1,10,0,3.17828,0,0,0,100,0,0
69,egress,0,VLAN4012,1,terminal,1,10,0,3.17828,0,0,0,100,0,0
70,egress,0,VLAN4012,1,terminal,1,10,0,3.17828,0,0,0,100,0,0
71,egress,0,VLAN4012,1,terminal,1,10,0,3.17828,0,0,0,100,0,0
72,egress,0,VLAN4012,1,terminal,1,10,0,3.17828,0,0,0,100,0,0
73,egress,0,VLAN4012,1,terminal,1,10,0,6.35655,0,0,0,100,0,0
74,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
75,egress,0,VLAN4012,1,terminal,1,10,0,6.35655,0,0,0,100,0,0
76,egress,0,VLAN4012,1,terminal,1,10,0,3.17828,0,0,0,100,0,0
77,egress,0,VLAN4012,1,terminal,1,10,0,3.1611,0,0,0,100,0,0
78,egress,0,VLAN4012,1,terminal,1,10,0,3.1611,0,0,0,100,0,0
79,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
80,egress,0,VLAN4012,1,terminal,1,10,0,3.1611,0,0,0,100,0,0
81,egress,0,VLAN4012,1,terminal,1,10,0,3.1611,0,0,0,100,0,0
82,egress,0,VLAN4012,1,terminal,1,10,0,6.32219,0,0,0,100,0,0
83,egress,0,VLAN4012,1,terminal,1,10,0,3.1611,0,0,0,100,0,0
84,egress,0,VLAN4012,1,terminal,1,10,0,3.1611,0,0,0,100,0,0
85,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
86,egress,0,VLAN4012,1,terminal,1,10,0,6.32219,0,0,0,100,0,0
87,egress,0,VLAN4012,1,terminal,1,10,0,3.16969,0,0,0,100,0,0
88,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
89,egress,0,VLAN4012,1,terminal,1,10,0,3.16969,0,0,0,100,0,0
90,egress,0,VLAN4012,1,terminal,1,10,0,3.16969,0,0,0,100,0,0
91,egress,0,VLAN4012,1,terminal,1,10,0,6.33937,0,0,0,100,0,0
92,egress,0,VLAN4012,1,terminal,1,10,0,3.16969,0,0,0,100,0,0
93,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
94,egress,0,VLAN4012,1,terminal,1,10,0,3.16969,0,0,0,100,0,0
95,egress,0,VLAN4012,1,terminal,1,10,0,3.16969,0,0,0,100,0,0
96,egress,0,VLAN4012,1,terminal,1,10,0,6.33937,0,0,0,100,0,0
97,egress,0,VLAN4012,1,terminal,1,10,0,3.14392,0,0,0,100,0,0
98,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
99,egress,0,VLAN4012,1,terminal,1,10,0,3.14392,0,0,0,100,0,0
100,egress,0,VLAN4012,1,terminal,1,10,0,6.28783,0,0,0,100,0,0
101,egress,0,VLAN4012,1,terminal,1,10,0,3.14392,0,0,0,100,0,0
102,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
103,egress,0,VLAN4012,1,terminal,1,10,0,6.28783,0,0,0,100,0,0
104,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
105,egress,0,VLAN4012,1,terminal,1,10,0,3.14392,0,0,0,100,0,0
106,egress,0,VLAN4012,1,terminal,1,10,0,6.28783,0,0,0,100,0,0
107,egress,0,VLAN4012,1,terminal,1,10,0,0,0,0,0,100,0,0
