interval,event,terminal,terminal_name,attached_switch,peer_terminal,mbit
0,trace_offer,0,VLAN4012.0,0,1,3350.07
0,send,0,VLAN4012.0,0,1,3350.07
1,trace_offer,0,VLAN4012.0,0,1,3350.07
1,send,0,VLAN4012.0,0,1,3350.07
2,trace_offer,0,VLAN4012.0,0,1,3350.07
2,send,0,VLAN4012.0,0,1,3350.07
3,trace_offer,0,VLAN4012.0,0,1,3350.07
3,send,0,VLAN4012.0,0,1,3350.07
4,trace_offer,0,VLAN4012.0,0,1,3350.07
4,send,0,VLAN4012.0,0,1,3350.07
5,trace_offer,0,VLAN4012.0,0,1,3350.07
2,receive,1,VLAN4012.1,0,0,3350.07
2,receive,1,VLAN4012.1,0,0,3350.07
2,receive,1,VLAN4012.1,0,0,3350.07
2,receive,1,VLAN4012.1,0,0,3350.07
5,send,0,VLAN4012.0,0,1,3350.07
6,trace_offer,0,VLAN4012.0,0,1,3350.07
3,receive,1,VLAN4012.1,0,0,3350.07
6,send,0,VLAN4012.0,0,1,3350.07
7,trace_offer,0,VLAN4012.0,0,1,3350.07
4,receive,1,VLAN4012.1,0,0,3350.07
7,send,0,VLAN4012.0,0,1,3350.07
8,trace_offer,0,VLAN4012.0,0,1,3350.07
5,receive,1,VLAN4012.1,0,0,3350.07
8,send,0,VLAN4012.0,0,1,3350.07
9,trace_offer,0,VLAN4012.0,0,1,3350.07
6,receive,1,VLAN4012.1,0,0,3350.07
6,receive,1,VLAN4012.1,0,0,3350.07
9,send,0,VLAN4012.0,0,1,3350.07
10,trace_offer,0,VLAN4012.0,0,1,3289.94
7,receive,1,VLAN4012.1,0,0,3350.07
10,send,0,VLAN4012.0,0,1,3289.94
11,trace_offer,0,VLAN4012.0,0,1,3289.94
8,receive,1,VLAN4012.1,0,0,3289.94
11,send,0,VLAN4012.0,0,1,3289.94
12,trace_offer,0,VLAN4012.0,0,1,3289.94
12,send,0,VLAN4012.0,0,1,3289.94
13,trace_offer,0,VLAN4012.0,0,1,3289.94
10,receive,1,VLAN4012.1,0,0,3289.94
13,send,0,VLAN4012.0,0,1,3289.94
14,trace_offer,0,VLAN4012.0,0,1,3289.94
11,receive,1,VLAN4012.1,0,0,3289.94
11,receive,1,VLAN4012.1,0,0,3289.94
14,send,0,VLAN4012.0,0,1,3289.94
15,trace_offer,0,VLAN4012.0,0,1,3289.94
12,receive,1,VLAN4012.1,0,0,3289.94
15,send,0,VLAN4012.0,0,1,3289.94
16,trace_offer,0,VLAN4012.0,0,1,3289.94
13,receive,1,VLAN4012.1,0,0,3289.94
16,send,0,VLAN4012.0,0,1,3289.94
17,trace_offer,0,VLAN4012.0,0,1,3289.94
17,send,0,VLAN4012.0,0,1,3289.94
18,trace_offer,0,VLAN4012.0,0,1,3289.94
15,receive,1,VLAN4012.1,0,0,3289.94
18,send,0,VLAN4012.0,0,1,3289.94
19,trace_offer,0,VLAN4012.0,0,1,3289.94
16,receive,1,VLAN4012.1,0,0,3289.94
19,send,0,VLAN4012.0,0,1,3289.94
20,trace_offer,0,VLAN4012.0,0,1,3272.77
17,receive,1,VLAN4012.1,0,0,3289.94
20,send,0,VLAN4012.0,0,1,3272.77
21,trace_offer,0,VLAN4012.0,0,1,3272.77
18,receive,1,VLAN4012.1,0,0,3289.94
18,receive,1,VLAN4012.1,0,0,3272.77
21,send,0,VLAN4012.0,0,1,3272.77
22,trace_offer,0,VLAN4012.0,0,1,3272.77
22,send,0,VLAN4012.0,0,1,3272.77
23,trace_offer,0,VLAN4012.0,0,1,3272.77
20,receive,1,VLAN4012.1,0,0,3272.77
23,send,0,VLAN4012.0,0,1,3272.77
24,trace_offer,0,VLAN4012.0,0,1,3272.77
21,receive,1,VLAN4012.1,0,0,3272.77
24,send,0,VLAN4012.0,0,1,3272.77
25,trace_offer,0,VLAN4012.0,0,1,3272.77
22,receive,1,VLAN4012.1,0,0,3272.77
25,send,0,VLAN4012.0,0,1,3272.77
26,trace_offer,0,VLAN4012.0,0,1,3272.77
23,receive,1,VLAN4012.1,0,0,3272.77
26,send,0,VLAN4012.0,0,1,3272.77
27,trace_offer,0,VLAN4012.0,0,1,3272.77
24,receive,1,VLAN4012.1,0,0,3272.77
24,receive,1,VLAN4012.1,0,0,3272.77
27,send,0,VLAN4012.0,0,1,3272.77
28,trace_offer,0,VLAN4012.0,0,1,3272.77
28,send,0,VLAN4012.0,0,1,3272.77
29,trace_offer,0,VLAN4012.0,0,1,3272.77
26,receive,1,VLAN4012.1,0,0,3272.77
29,send,0,VLAN4012.0,0,1,3272.77
30,trace_offer,0,VLAN4012.0,0,1,3272.77
27,receive,1,VLAN4012.1,0,0,3272.77
27,receive,1,VLAN4012.1,0,0,3272.77
30,send,0,VLAN4012.0,0,1,3272.77
31,trace_offer,0,VLAN4012.0,0,1,3272.77
28,receive,1,VLAN4012.1,0,0,3272.77
31,send,0,VLAN4012.0,0,1,3272.77
32,trace_offer,0,VLAN4012.0,0,1,3272.77
32,send,0,VLAN4012.0,0,1,3272.77
33,trace_offer,0,VLAN4012.0,0,1,3272.77
30,receive,1,VLAN4012.1,0,0,3272.77
30,receive,1,VLAN4012.1,0,0,3272.77
33,send,0,VLAN4012.0,0,1,3272.77
34,trace_offer,0,VLAN4012.0,0,1,3272.77
34,send,0,VLAN4012.0,0,1,3272.77
35,trace_offer,0,VLAN4012.0,0,1,3272.77
32,receive,1,VLAN4012.1,0,0,3272.77
32,receive,1,VLAN4012.1,0,0,3272.77
35,send,0,VLAN4012.0,0,1,3272.77
36,trace_offer,0,VLAN4012.0,0,1,3272.77
36,send,0,VLAN4012.0,0,1,3272.77
37,trace_offer,0,VLAN4012.0,0,1,3272.77
34,receive,1,VLAN4012.1,0,0,3272.77
37,send,0,VLAN4012.0,0,1,3272.77
38,trace_offer,0,VLAN4012.0,0,1,3272.77
35,receive,1,VLAN4012.1,0,0,3272.77
35,receive,1,VLAN4012.1,0,0,3272.77
38,send,0,VLAN4012.0,0,1,3272.77
39,trace_offer,0,VLAN4012.0,0,1,3272.77
39,send,0,VLAN4012.0,0,1,3272.77
40,trace_offer,0,VLAN4012.0,0,1,3247
37,receive,1,VLAN4012.1,0,0,3272.77
37,receive,1,VLAN4012.1,0,0,3272.77
40,send,0,VLAN4012.0,0,1,3247
41,trace_offer,0,VLAN4012.0,0,1,3247
41,send,0,VLAN4012.0,0,1,3247
42,trace_offer,0,VLAN4012.0,0,1,3247
39,receive,1,VLAN4012.1,0,0,3247
42,send,0,VLAN4012.0,0,1,3247
43,trace_offer,0,VLAN4012.0,0,1,3247
40,receive,1,VLAN4012.1,0,0,3247
40,receive,1,VLAN4012.1,0,0,3247
43,send,0,VLAN4012.0,0,1,3247
44,trace_offer,0,VLAN4012.0,0,1,3247
44,send,0,VLAN4012.0,0,1,3247
45,trace_offer,0,VLAN4012.0,0,1,3247
42,receive,1,VLAN4012.1,0,0,3247
42,receive,1,VLAN4012.1,0,0,3247
45,send,0,VLAN4012.0,0,1,3247
46,trace_offer,0,VLAN4012.0,0,1,3247
46,send,0,VLAN4012.0,0,1,3247
47,trace_offer,0,VLAN4012.0,0,1,3247
44,receive,1,VLAN4012.1,0,0,3247
47,send,0,VLAN4012.0,0,1,3247
48,trace_offer,0,VLAN4012.0,0,1,3247
45,receive,1,VLAN4012.1,0,0,3247
48,send,0,VLAN4012.0,0,1,3247
49,trace_offer,0,VLAN4012.0,0,1,3247
46,receive,1,VLAN4012.1,0,0,3247
49,send,0,VLAN4012.0,0,1,3247
50,trace_offer,0,VLAN4012.0,0,1,3204.05
47,receive,1,VLAN4012.1,0,0,3247
50,send,0,VLAN4012.0,0,1,3204.05
51,trace_offer,0,VLAN4012.0,0,1,3204.05
48,receive,1,VLAN4012.1,0,0,3247
51,send,0,VLAN4012.0,0,1,3204.05
52,trace_offer,0,VLAN4012.0,0,1,3204.05
49,receive,1,VLAN4012.1,0,0,3204.05
52,send,0,VLAN4012.0,0,1,3204.05
53,trace_offer,0,VLAN4012.0,0,1,3204.05
50,receive,1,VLAN4012.1,0,0,3204.05
53,send,0,VLAN4012.0,0,1,3204.05
54,trace_offer,0,VLAN4012.0,0,1,3204.05
51,receive,1,VLAN4012.1,0,0,3204.05
54,send,0,VLAN4012.0,0,1,3204.05
55,trace_offer,0,VLAN4012.0,0,1,3204.05
52,receive,1,VLAN4012.1,0,0,3204.05
52,receive,1,VLAN4012.1,0,0,3204.05
55,send,0,VLAN4012.0,0,1,3204.05
56,trace_offer,0,VLAN4012.0,0,1,3204.05
56,send,0,VLAN4012.0,0,1,3204.05
57,trace_offer,0,VLAN4012.0,0,1,3204.05
54,receive,1,VLAN4012.1,0,0,3204.05
54,receive,1,VLAN4012.1,0,0,3204.05
57,send,0,VLAN4012.0,0,1,3204.05
58,trace_offer,0,VLAN4012.0,0,1,3204.05
58,send,0,VLAN4012.0,0,1,3204.05
59,trace_offer,0,VLAN4012.0,0,1,3204.05
56,receive,1,VLAN4012.1,0,0,3204.05
59,send,0,VLAN4012.0,0,1,3204.05
60,trace_offer,0,VLAN4012.0,0,1,3195.46
57,receive,1,VLAN4012.1,0,0,3204.05
57,receive,1,VLAN4012.1,0,0,3204.05
60,send,0,VLAN4012.0,0,1,3195.46
61,trace_offer,0,VLAN4012.0,0,1,3195.46
61,send,0,VLAN4012.0,0,1,3195.46
62,trace_offer,0,VLAN4012.0,0,1,3195.46
59,receive,1,VLAN4012.1,0,0,3195.46
59,receive,1,VLAN4012.1,0,0,3195.46
62,send,0,VLAN4012.0,0,1,3195.46
63,trace_offer,0,VLAN4012.0,0,1,3195.46
63,send,0,VLAN4012.0,0,1,3195.46
64,trace_offer,0,VLAN4012.0,0,1,3195.46
61,receive,1,VLAN4012.1,0,0,3195.46
64,send,0,VLAN4012.0,0,1,3195.46
65,trace_offer,0,VLAN4012.0,0,1,3195.46
62,receive,1,VLAN4012.1,0,0,3195.46
65,send,0,VLAN4012.0,0,1,3195.46
66,trace_offer,0,VLAN4012.0,0,1,3195.46
63,receive,1,VLAN4012.1,0,0,3195.46
66,send,0,VLAN4012.0,0,1,3195.46
67,trace_offer,0,VLAN4012.0,0,1,3195.46
64,receive,1,VLAN4012.1,0,0,3195.46
64,receive,1,VLAN4012.1,0,0,3195.46
67,send,0,VLAN4012.0,0,1,3195.46
68,trace_offer,0,VLAN4012.0,0,1,3195.46
68,send,0,VLAN4012.0,0,1,3195.46
69,trace_offer,0,VLAN4012.0,0,1,3195.46
66,receive,1,VLAN4012.1,0,0,3195.46
69,send,0,VLAN4012.0,0,1,3195.46
70,trace_offer,0,VLAN4012.0,0,1,3178.28
67,receive,1,VLAN4012.1,0,0,3195.46
67,receive,1,VLAN4012.1,0,0,3195.46
70,send,0,VLAN4012.0,0,1,3178.28
71,trace_offer,0,VLAN4012.0,0,1,3178.28
71,send,0,VLAN4012.0,0,1,3178.28
72,trace_offer,0,VLAN4012.0,0,1,3178.28
69,receive,1,VLAN4012.1,0,0,3178.28
72,send,0,VLAN4012.0,0,1,3178.28
73,trace_offer,0,VLAN4012.0,0,1,3178.28
70,receive,1,VLAN4012.1,0,0,3178.28
73,send,0,VLAN4012.0,0,1,3178.28
74,trace_offer,0,VLAN4012.0,0,1,3178.28
71,receive,1,VLAN4012.1,0,0,3178.28
74,send,0,VLAN4012.0,0,1,3178.28
75,trace_offer,0,VLAN4012.0,0,1,3178.28
72,receive,1,VLAN4012.1,0,0,3178.28
75,send,0,VLAN4012.0,0,1,3178.28
76,trace_offer,0,VLAN4012.0,0,1,3178.28
73,receive,1,VLAN4012.1,0,0,3178.28
76,send,0,VLAN4012.0,0,1,3178.28
77,trace_offer,0,VLAN4012.0,0,1,3178.28
74,receive,1,VLAN4012.1,0,0,3178.28
74,receive,1,VLAN4012.1,0,0,3178.28
77,send,0,VLAN4012.0,0,1,3178.28
78,trace_offer,0,VLAN4012.0,0,1,3178.28
75,receive,1,VLAN4012.1,0,0,3178.28
78,send,0,VLAN4012.0,0,1,3178.28
79,trace_offer,0,VLAN4012.0,0,1,3178.28
79,send,0,VLAN4012.0,0,1,3178.28
80,trace_offer,0,VLAN4012.0,0,1,3161.1
77,receive,1,VLAN4012.1,0,0,3178.28
77,receive,1,VLAN4012.1,0,0,3178.28
80,send,0,VLAN4012.0,0,1,3161.1
81,trace_offer,0,VLAN4012.0,0,1,3161.1
78,receive,1,VLAN4012.1,0,0,3161.1
81,send,0,VLAN4012.0,0,1,3161.1
82,trace_offer,0,VLAN4012.0,0,1,3161.1
82,send,0,VLAN4012.0,0,1,3161.1
83,trace_offer,0,VLAN4012.0,0,1,3161.1
80,receive,1,VLAN4012.1,0,0,3161.1
83,send,0,VLAN4012.0,0,1,3161.1
84,trace_offer,0,VLAN4012.0,0,1,3161.1
81,receive,1,VLAN4012.1,0,0,3161.1
81,receive,1,VLAN4012.1,0,0,3161.1
84,send,0,VLAN4012.0,0,1,3161.1
85,trace_offer,0,VLAN4012.0,0,1,3161.1
85,send,0,VLAN4012.0,0,1,3161.1
86,trace_offer,0,VLAN4012.0,0,1,3161.1
83,receive,1,VLAN4012.1,0,0,3161.1
83,receive,1,VLAN4012.1,0,0,3161.1
86,send,0,VLAN4012.0,0,1,3161.1
87,trace_offer,0,VLAN4012.0,0,1,3161.1
84,receive,1,VLAN4012.1,0,0,3161.1
87,send,0,VLAN4012.0,0,1,3161.1
88,trace_offer,0,VLAN4012.0,0,1,3161.1
85,receive,1,VLAN4012.1,0,0,3161.1
88,send,0,VLAN4012.0,0,1,3161.1
89,trace_offer,0,VLAN4012.0,0,1,3161.1
89,send,0,VLAN4012.0,0,1,3161.1
90,trace_offer,0,VLAN4012.0,0,1,3169.69
87,receive,1,VLAN4012.1,0,0,3161.1
87,receive,1,VLAN4012.1,0,0,3161.1
90,send,0,VLAN4012.0,0,1,3169.69
91,trace_offer,0,VLAN4012.0,0,1,3169.69
88,receive,1,VLAN4012.1,0,0,3169.69
91,send,0,VLAN4012.0,0,1,3169.69
92,trace_offer,0,VLAN4012.0,0,1,3169.69
92,send,0,VLAN4012.0,0,1,3169.69
93,trace_offer,0,VLAN4012.0,0,1,3169.69
90,receive,1,VLAN4012.1,0,0,3169.69
93,send,0,VLAN4012.0,0,1,3169.69
94,trace_offer,0,VLAN4012.0,0,1,3169.69
91,receive,1,VLAN4012.1,0,0,3169.69
94,send,0,VLAN4012.0,0,1,3169.69
95,trace_offer,0,VLAN4012.0,0,1,3169.69
92,receive,1,VLAN4012.1,0,0,3169.69
92,receive,1,VLAN4012.1,0,0,3169.69
95,send,0,VLAN4012.0,0,1,3169.69
96,trace_offer,0,VLAN4012.0,0,1,3169.69
96,send,0,VLAN4012.0,0,1,3169.69
97,trace_offer,0,VLAN4012.0,0,1,3169.69
94,receive,1,VLAN4012.1,0,0,3169.69
97,send,0,VLAN4012.0,0,1,3169.69
98,trace_offer,0,VLAN4012.0,0,1,3169.69
95,receive,1,VLAN4012.1,0,0,3169.69
98,send,0,VLAN4012.0,0,1,3169.69
99,trace_offer,0,VLAN4012.0,0,1,3169.69
96,receive,1,VLAN4012.1,0,0,3169.69
99,send,0,VLAN4012.0,0,1,3169.69
100,trace_offer,0,VLAN4012.0,0,1,3143.92
97,receive,1,VLAN4012.1,0,0,3169.69
97,receive,1,VLAN4012.1,0,0,3169.69
100,send,0,VLAN4012.0,0,1,3143.92
101,trace_offer,0,VLAN4012.0,0,1,3143.92
98,receive,1,VLAN4012.1,0,0,3143.92
