interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,trace_offer,0,VLAN4012.0,0,2,2.5598
0,send,0,VLAN4012.0,0,2,2.5598
1,trace_offer,0,VLAN4012.0,0,2,2.5598
1,send,0,VLAN4012.0,0,2,2.5598
2,trace_offer,0,VLAN4012.0,0,2,2.5598
2,send,0,VLAN4012.0,0,2,2.5598
3,trace_offer,0,VLAN4012.0,0,2,2.5598
3,send,0,VLAN4012.0,0,2,2.5598
4,trace_offer,0,VLAN4012.0,0,2,2.5598
4,send,0,VLAN4012.0,0,2,2.5598
5,trace_offer,0,VLAN4012.0,0,2,2.5598
2,receive,2,VLAN4012.2,0,0,2
2,receive,2,VLAN4012.2,0,0,2
2,receive,2,VLAN4012.2,0,0,2
2,receive,2,VLAN4012.2,0,0,2
2,receive,2,VLAN4012.2,0,0,2
3,receive,2,VLAN4012.2,0,0,2.799
5,send,0,VLAN4012.0,0,2,2.5598
6,trace_offer,0,VLAN4012.0,0,2,2.5598
6,send,0,VLAN4012.0,0,2,2.5598
7,trace_offer,0,VLAN4012.0,0,2,2.5598
4,receive,2,VLAN4012.2,0,0,2.5598
7,send,0,VLAN4012.0,0,2,2.5598
8,trace_offer,0,VLAN4012.0,0,2,2.5598
5,receive,2,VLAN4012.2,0,0,2.5598
5,receive,2,VLAN4012.2,0,0,2.5598
8,send,0,VLAN4012.0,0,2,2.5598
9,trace_offer,0,VLAN4012.0,0,2,2.5598
6,receive,2,VLAN4012.2,0,0,2.5598
9,send,0,VLAN4012.0,0,2,2.5598
10,trace_offer,0,VLAN4012.0,0,2,2.49108
7,receive,2,VLAN4012.2,0,0,2.5598
10,send,0,VLAN4012.0,0,2,2.49108
11,trace_offer,0,VLAN4012.0,0,2,2.49108
11,send,0,VLAN4012.0,0,2,2.49108
12,trace_offer,0,VLAN4012.0,0,2,2.49108
9,receive,2,VLAN4012.2,0,0,2.49108
12,send,0,VLAN4012.0,0,2,2.49108
13,trace_offer,0,VLAN4012.0,0,2,2.49108
10,receive,2,VLAN4012.2,0,0,2.49108
13,send,0,VLAN4012.0,0,2,2.49108
14,trace_offer,0,VLAN4012.0,0,2,2.49108
11,receive,2,VLAN4012.2,0,0,2.49108
11,receive,2,VLAN4012.2,0,0,2.49108
14,send,0,VLAN4012.0,0,2,2.49108
15,trace_offer,0,VLAN4012.0,0,2,2.49108
12,receive,2,VLAN4012.2,0,0,2.49108
15,send,0,VLAN4012.0,0,2,2.49108
16,trace_offer,0,VLAN4012.0,0,2,2.49108
13,receive,2,VLAN4012.2,0,0,2.49108
16,send,0,VLAN4012.0,0,2,2.49108
17,trace_offer,0,VLAN4012.0,0,2,2.49108
17,send,0,VLAN4012.0,0,2,2.49108
18,trace_offer,0,VLAN4012.0,0,2,2.49108
15,receive,2,VLAN4012.2,0,0,2.49108
15,receive,2,VLAN4012.2,0,0,2.49108
18,send,0,VLAN4012.0,0,2,2.49108
19,trace_offer,0,VLAN4012.0,0,2,2.49108
16,receive,2,VLAN4012.2,0,0,2.49108
19,send,0,VLAN4012.0,0,2,2.49108
20,trace_offer,0,VLAN4012.0,0,2,2.44813
17,receive,2,VLAN4012.2,0,0,2.49108
20,send,0,VLAN4012.0,0,2,2.44813
21,trace_offer,0,VLAN4012.0,0,2,2.44813
21,send,0,VLAN4012.0,0,2,2.44813
22,trace_offer,0,VLAN4012.0,0,2,2.44813
19,receive,2,VLAN4012.2,0,0,2.44813
22,send,0,VLAN4012.0,0,2,2.44813
23,trace_offer,0,VLAN4012.0,0,2,2.44813
20,receive,2,VLAN4012.2,0,0,2.44813
23,send,0,VLAN4012.0,0,2,2.44813
24,trace_offer,0,VLAN4012.0,0,2,2.44813
21,receive,2,VLAN4012.2,0,0,2.44813
24,send,0,VLAN4012.0,0,2,2.44813
25,trace_offer,0,VLAN4012.0,0,2,2.44813
22,receive,2,VLAN4012.2,0,0,2.44813
22,receive,2,VLAN4012.2,0,0,2.44813
25,send,0,VLAN4012.0,0,2,2.44813
26,trace_offer,0,VLAN4012.0,0,2,2.44813
26,send,0,VLAN4012.0,0,2,2.44813
27,trace_offer,0,VLAN4012.0,0,2,2.44813
24,receive,2,VLAN4012.2,0,0,2.44813
27,send,0,VLAN4012.0,0,2,2.44813
28,trace_offer,0,VLAN4012.0,0,2,2.44813
25,receive,2,VLAN4012.2,0,0,2.44813
28,send,0,VLAN4012.0,0,2,2.44813
29,trace_offer,0,VLAN4012.0,0,2,2.44813
26,receive,2,VLAN4012.2,0,0,2.44813
29,send,0,VLAN4012.0,0,2,2.44813
30,trace_offer,0,VLAN4012.0,0,2,2.46531
27,receive,2,VLAN4012.2,0,0,2.44813
27,receive,2,VLAN4012.2,0,0,2.44813
30,send,0,VLAN4012.0,0,2,2.46531
31,trace_offer,0,VLAN4012.0,0,2,2.46531
31,send,0,VLAN4012.0,0,2,2.46531
32,trace_offer,0,VLAN4012.0,0,2,2.46531
29,receive,2,VLAN4012.2,0,0,2.46531
32,send,0,VLAN4012.0,0,2,2.46531
33,trace_offer,0,VLAN4012.0,0,2,2.46531
30,receive,2,VLAN4012.2,0,0,2.46531
33,send,0,VLAN4012.0,0,2,2.46531
34,trace_offer,0,VLAN4012.0,0,2,2.46531
31,receive,2,VLAN4012.2,0,0,2.46531
34,send,0,VLAN4012.0,0,2,2.46531
35,trace_offer,0,VLAN4012.0,0,2,2.46531
32,receive,2,VLAN4012.2,0,0,2.46531
32,receive,2,VLAN4012.2,0,0,2.46531
35,send,0,VLAN4012.0,0,2,2.46531
36,trace_offer,0,VLAN4012.0,0,2,2.46531
33,receive,2,VLAN4012.2,0,0,2.46531
36,send,0,VLAN4012.0,0,2,2.46531
37,trace_offer,0,VLAN4012.0,0,2,2.46531
37,send,0,VLAN4012.0,0,2,2.46531
38,trace_offer,0,VLAN4012.0,0,2,2.46531
35,receive,2,VLAN4012.2,0,0,2.46531
35,receive,2,VLAN4012.2,0,0,2.46531
38,send,0,VLAN4012.0,0,2,2.46531
39,trace_offer,0,VLAN4012.0,0,2,2.46531
39,send,0,VLAN4012.0,0,2,2.46531
40,trace_offer,0,VLAN4012.0,0,2,2.52544
37,receive,2,VLAN4012.2,0,0,2.46531
37,receive,2,VLAN4012.2,0,0,2.46531
40,send,0,VLAN4012.0,0,2,2.52544
41,trace_offer,0,VLAN4012.0,0,2,2.52544
41,send,0,VLAN4012.0,0,2,2.52544
42,trace_offer,0,VLAN4012.0,0,2,2.52544
39,receive,2,VLAN4012.2,0,0,2.52544
42,send,0,VLAN4012.0,0,2,2.52544
43,trace_offer,0,VLAN4012.0,0,2,2.52544
40,receive,2,VLAN4012.2,0,0,2.52544
43,send,0,VLAN4012.0,0,2,2.52544
44,trace_offer,0,VLAN4012.0,0,2,2.52544
41,receive,2,VLAN4012.2,0,0,2.52544
44,send,0,VLAN4012.0,0,2,2.52544
45,trace_offer,0,VLAN4012.0,0,2,2.52544
42,receive,2,VLAN4012.2,0,0,2.52544
