interval,flow_id,source_terminal,destination_terminal,offered_gbit
0,4001,1,3,3.358664425
1,4001,1,3,3.358664425
2,4001,1,3,3.358664425
3,4001,1,3,3.358664425
4,4001,1,3,3.358664425
5,4001,1,3,3.358664425
6,4001,1,3,3.358664425
7,4001,1,3,3.358664425
8,4001,1,3,3.358664425
9,4001,1,3,3.358664425
10,4001,1,3,3.384434229
11,4001,1,3,3.384434229
12,4001,1,3,3.384434229
13,4001,1,3,3.384434229
14,4001,1,3,3.384434229
15,4001,1,3,3.384434229
16,4001,1,3,3.384434229
17,4001,1,3,3.384434229
18,4001,1,3,3.384434229
19,4001,1,3,3.384434229
20,4001,1,3,3.350074491
21,4001,1,3,3.350074491
22,4001,1,3,3.350074491
23,4001,1,3,3.350074491
24,4001,1,3,3.350074491
25,4001,1,3,3.350074491
26,4001,1,3,3.350074491
27,4001,1,3,3.350074491
28,4001,1,3,3.350074491
29,4001,1,3,3.350074491
30,4001,1,3,3.350074491
31,4001,1,3,3.350074491
32,4001,1,3,3.350074491
33,4001,1,3,3.350074491
34,4001,1,3,3.350074491
35,4001,1,3,3.350074491
36,4001,1,3,3.350074491
37,4001,1,3,3.350074491
38,4001,1,3,3.350074491
39,4001,1,3,3.350074491
40,4001,1,3,3.350074491
41,4001,1,3,3.350074491
42,4001,1,3,3.350074491
43,4001,1,3,3.350074491
44,4001,1,3,3.350074491
45,4001,1,3,3.350074491
46,4001,1,3,3.350074491
47,4001,1,3,3.350074491
48,4001,1,3,3.350074491
49,4001,1,3,3.350074491
50,4001,1,3,3.332894622
51,4001,1,3,3.332894622
52,4001,1,3,3.332894622
53,4001,1,3,3.332894622
54,4001,1,3,3.332894622
55,4001,1,3,3.332894622
56,4001,1,3,3.332894622
57,4001,1,3,3.332894622
58,4001,1,3,3.332894622
59,4001,1,3,3.332894622
60,4001,1,3,3.324304687
61,4001,1,3,3.324304687
62,4001,1,3,3.324304687
63,4001,1,3,3.324304687
64,4001,1,3,3.324304687
65,4001,1,3,3.324304687
66,4001,1,3,3.324304687
67,4001,1,3,3.324304687
68,4001,1,3,3.324304687
69,4001,1,3,3.324304687
70,4001,1,3,3.307124818
71,4001,1,3,3.307124818
72,4001,1,3,3.307124818
73,4001,1,3,3.307124818
74,4001,1,3,3.307124818
75,4001,1,3,3.307124818
76,4001,1,3,3.307124818
77,4001,1,3,3.307124818
78,4001,1,3,3.307124818
79,4001,1,3,3.307124818
80,4001,1,3,3.272765080
81,4001,1,3,3.272765080
82,4001,1,3,3.272765080
83,4001,1,3,3.272765080
84,4001,1,3,3.272765080
85,4001,1,3,3.272765080
86,4001,1,3,3.272765080
87,4001,1,3,3.272765080
88,4001,1,3,3.272765080
89,4001,1,3,3.272765080
90,4001,1,3,3.246995276
91,4001,1,3,3.246995276
92,4001,1,3,3.246995276
