interval,event,switch,switch_name,port,target_type,target_index,capacity_mbit,queued_before_mbit,sent_mbit,queued_after_mbit,shared_queued_before_mbit,shared_queued_after_mbit,shared_buffer_mbit,dropped_mbit,active_queue_entries
1,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,143.445,0,0,0,909.28,0,0
2,egress,2,STARLIGHT,1,switch,3,40000,0,143.445,0,0,0,909.28,0,0
2,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,28.689,0,0,0,909.28,0,0
3,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
3,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,143.445,0,0,0,909.28,0,0
3,egress,2,STARLIGHT,1,switch,3,40000,0,28.689,0,0,0,909.28,0,0
4,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,28.689,0,0,0,909.28,0,0
4,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,28.689,0,0,0,909.28,0,0
5,egress,2,STARLIGHT,1,switch,3,40000,0,28.689,0,0,0,909.28,0,0
5,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,57.3781,0,0,0,909.28,0,0
6,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,28.689,0,0,0,909.28,0,0
6,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,28.689,0,0,0,909.28,0,0
6,egress,2,STARLIGHT,1,switch,3,40000,0,57.3781,0,0,0,909.28,0,0
7,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,57.3781,0,0,0,909.28,0,0
7,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.8303,0,0,0,909.28,0,0
7,egress,2,STARLIGHT,1,switch,3,40000,0,28.689,0,0,0,909.28,0,0
8,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
8,egress,2,STARLIGHT,1,switch,3,40000,0,24.8303,0,0,0,909.28,0,0
8,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,28.689,0,0,0,909.28,0,0
9,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.8303,0,0,0,909.28,0,0
