case,scenario,seed,runtime_sec,net_events,generated_gbit,delivered_gbit,delivered_goodput_gbps,delivery_fraction,drop_fraction,source_backlog_fraction,residual_network_fraction,inferred_inflight_gbit,qdrain_p50_sec,qdrain_p95_sec,qdrain_p99_sec,terminal_pause_time_ms,switch_output_pause_time_ms,pause_frames_sent,resume_frames_sent,source_terminal_jain,queue_top1_fraction,queue_top5_fraction,drop_top1_fraction,drop_top5_fraction,victim_delivered_gbit,victim_goodput_gbps,mean_elephant_delivered_gbit
load-low-seed2001,A-load,2001,0.1009,23689,113858.581517,70179.900214,175.449750535,0.6163777844318354,0.3836222155066848,0.0,0.0,6.999995093792677e-06,4.247590377671499,8.937934893574983,9.932138793584492,1551450.0,1810900.0,323,323,0.9384538871456694,0.055218250938187476,0.21236775676817707,0.05857303618354184,0.22275965487747088,0.0,0.0,0.0
load-low-seed2002,A-load,2002,0.1035,23689,113858.581517,70179.900214,175.449750535,0.6163777844318354,0.3836222155066848,0.0,0.0,6.999995093792677e-06,4.247590377671499,8.937934893574983,9.932138793584492,1551450.0,1810900.0,323,323,0.9384538871456694,0.055218250938187476,0.21236775676817707,0.05857303618354184,0.22275965487747088,0.0,0.0,0.0
load-low-seed2003,A-load,2003,0.1024,23689,113858.581517,70179.900214,175.449750535,0.6163777844318354,0.3836222155066848,0.0,0.0,6.999995093792677e-06,4.247590377671499,8.937934893574983,9.932138793584492,1551450.0,1810900.0,323,323,0.9384538871456694,0.055218250938187476,0.21236775676817707,0.05857303618354184,0.22275965487747088,0.0,0.0,0.0
load-low-seed2004,A-load,2004,0.1045,23689,113858.581517,70179.900214,175.449750535,0.6163777844318354,0.3836222155066848,0.0,0.0,6.999995093792677e-06,4.247590377671499,8.937934893574983,9.932138793584492,1551450.0,1810900.0,323,323,0.9384538871456694,0.055218250938187476,0.21236775676817707,0.05857303618354184,0.22275965487747088,0.0,0.0,0.0
load-low-seed2005,A-load,2005,0.1024,23689,113858.581517,70179.900214,175.449750535,0.6163777844318354,0.3836222155066848,0.0,0.0,6.999995093792677e-06,4.247590377671499,8.937934893574983,9.932138793584492,1551450.0,1810900.0,323,323,0.9384538871456694,0.055218250938187476,0.21236775676817707,0.05857303618354184,0.22275965487747088,0.0,0.0,0.0
load-low-seed2006,A-load,2006,0.1038,23689,113858.581517,70179.900214,175.449750535,0.6163777844318354,0.3836222155066848,0.0,0.0,6.999995093792677e-06,4.247590377671499,8.937934893574983,9.932138793584492,1551450.0,1810900.0,323,323,0.9384538871456694,0.055218250938187476,0.21236775676817707,0.05857303618354184,0.22275965487747088,0.0,0.0,0.0
load-low-seed2007,A-load,2007,0.1022,23689,113858.581517,70179.900214,175.449750535,0.6163777844318354,0.3836222155066848,0.0,0.0,6.999995093792677e-06,4.247590377671499,8.937934893574983,9.932138793584492,1551450.0,1810900.0,323,323,0.9384538871456694,0.055218250938187476,0.21236775676817707,0.05857303618354184,0.22275965487747088,0.0,0.0,0.0
load-low-seed2008,A-load,2008,0.0997,23689,113858.581517,70179.900214,175.449750535,0.6163777844318354,0.3836222155066848,0.0,0.0,6.999995093792677e-06,4.247590377671499,8.937934893574983,9.932138793584492,1551450.0,1810900.0,323,323,0.9384538871456694,0.055218250938187476,0.21236775676817707,0.05857303618354184,0.22275965487747088,0.0,0.0,0.0
load-low-seed2009,A-load,2009,0.1049,23689,113858.581517,70179.900214,175.449750535,0.6163777844318354,0.3836222155066848,0.0,0.0,6.999995093792677e-06,4.247590377671499,8.937934893574983,9.932138793584492,1551450.0,1810900.0,323,323,0.9384538871456694,0.055218250938187476,0.21236775676817707,0.05857303618354184,0.22275965487747088,0.0,0.0,0.0
load-low-seed2010,A-load,2010,0.1002,23689,113858.581517,70179.900214,175.449750535,0.6163777844318354,0.3836222155066848,0.0,0.0,6.999995093792677e-06,4.247590377671499,8.937934893574983,9.932138793584492,1551450.0,1810900.0,323,323,0.9384538871456694,0.055218250938187476,0.21236775676817707,0.05857303618354184,0.22275965487747088,0.0,0.0,0.0
