case,scenario,seed,workload,config,topology,trace
load-low-seed2001,A-load,2001,random,configs/load-low-seed2001.yaml,topologies/topology-buffer100Gb.yaml,
load-low-seed2002,A-load,2002,random,configs/load-low-seed2002.yaml,topologies/topology-buffer100Gb.yaml,
load-low-seed2003,A-load,2003,random,configs/load-low-seed2003.yaml,topologies/topology-buffer100Gb.yaml,
load-medium-seed2001,A-load,2001,random,configs/load-medium-seed2001.yaml,topologies/topology-buffer100Gb.yaml,
load-medium-seed2002,A-load,2002,random,configs/load-medium-seed2002.yaml,topologies/topology-buffer100Gb.yaml,
load-medium-seed2003,A-load,2003,random,configs/load-medium-seed2003.yaml,topologies/topology-buffer100Gb.yaml,
load-high-seed2001,A-load,2001,random,configs/load-high-seed2001.yaml,topologies/topology-buffer100Gb.yaml,
load-high-seed2002,A-load,2002,random,configs/load-high-seed2002.yaml,topologies/topology-buffer100Gb.yaml,
load-high-seed2003,A-load,2003,random,configs/load-high-seed2003.yaml,topologies/topology-buffer100Gb.yaml,
buffer25Gb-aggressive-seed2001,B-buffer-pause,2001,random,configs/buffer25Gb-aggressive-seed2001.yaml,topologies/topology-buffer25Gb.yaml,
buffer25Gb-aggressive-seed2002,B-buffer-pause,2002,random,configs/buffer25Gb-aggressive-seed2002.yaml,topologies/topology-buffer25Gb.yaml,
buffer25Gb-aggressive-seed2003,B-buffer-pause,2003,random,configs/buffer25Gb-aggressive-seed2003.yaml,topologies/topology-buffer25Gb.yaml,
buffer25Gb-moderate-seed2001,B-buffer-pause,2001,random,configs/buffer25Gb-moderate-seed2001.yaml,topologies/topology-buffer25Gb.yaml,
buffer25Gb-moderate-seed2002,B-buffer-pause,2002,random,configs/buffer25Gb-moderate-seed2002.yaml,topologies/topology-buffer25Gb.yaml,
buffer25Gb-moderate-seed2003,B-buffer-pause,2003,random,configs/buffer25Gb-moderate-seed2003.yaml,topologies/topology-buffer25Gb.yaml,
buffer100Gb-aggressive-seed2001,B-buffer-pause,2001,random,configs/buffer100Gb-aggressive-seed2001.yaml,topologies/topology-buffer100Gb.yaml,
buffer100Gb-aggressive-seed2002,B-buffer-pause,2002,random,configs/buffer100Gb-aggressive-seed2002.yaml,topologies/topology-buffer100Gb.yaml,
buffer100Gb-aggressive-seed2003,B-buffer-pause,2003,random,configs/buffer100Gb-aggressive-seed2003.yaml,topologies/topology-buffer100Gb.yaml,
buffer100Gb-moderate-seed2001,B-buffer-pause,2001,random,configs/buffer100Gb-moderate-seed2001.yaml,topologies/topology-buffer100Gb.yaml,
buffer100Gb-moderate-seed2002,B-buffer-pause,2002,random,configs/buffer100Gb-moderate-seed2002.yaml,topologies/topology-buffer100Gb.yaml,
buffer100Gb-moderate-seed2003,B-buffer-pause,2003,random,configs/buffer100Gb-moderate-seed2003.yaml,topologies/topology-buffer100Gb.yaml,
buffer400Gb-aggressive-seed2001,B-buffer-pause,2001,random,configs/buffer400Gb-aggressive-seed2001.yaml,topologies/topology-buffer400Gb.yaml,
buffer400Gb-aggressive-seed2002,B-buffer-pause,2002,random,configs/buffer400Gb-aggressive-seed2002.yaml,topologies/topology-buffer400Gb.yaml,
buffer400Gb-aggressive-seed2003,B-buffer-pause,2003,random,configs/buffer400Gb-aggressive-seed2003.yaml,topologies/topology-buffer400Gb.yaml,
buffer400Gb-moderate-seed2001,B-buffer-pause,2001,random,configs/buffer400Gb-moderate-seed2001.yaml,topologies/topology-buffer400Gb.yaml,
buffer400Gb-moderate-seed2002,B-buffer-pause,2002,random,configs/buffer400Gb-moderate-seed2002.yaml,topologies/topology-buffer400Gb.yaml,
buffer400Gb-moderate-seed2003,B-buffer-pause,2003,random,configs/buffer400Gb-moderate-seed2003.yaml,topologies/topology-buffer400Gb.yaml,
incast-4-seed2001,C-incast,2001,trace,configs/incast-4-seed2001.yaml,topologies/topology-buffer100Gb.yaml,traces/incast-4-seed2001.csv
incast-4-seed2002,C-incast,2002,trace,configs/incast-4-seed2002.yaml,topologies/topology-buffer100Gb.yaml,traces/incast-4-seed2002.csv
incast-4-seed2003,C-incast,2003,trace,configs/incast-4-seed2003.yaml,topologies/topology-buffer100Gb.yaml,traces/incast-4-seed2003.csv
incast-8-seed2001,C-incast,2001,trace,configs/incast-8-seed2001.yaml,topologies/topology-buffer100Gb.yaml,traces/incast-8-seed2001.csv
incast-8-seed2002,C-incast,2002,trace,configs/incast-8-seed2002.yaml,topologies/topology-buffer100Gb.yaml,traces/incast-8-seed2002.csv
incast-8-seed2003,C-incast,2003,trace,configs/incast-8-seed2003.yaml,topologies/topology-buffer100Gb.yaml,traces/incast-8-seed2003.csv
incast-16-seed2001,C-incast,2001,trace,configs/incast-16-seed2001.yaml,topologies/topology-buffer100Gb.yaml,traces/incast-16-seed2001.csv
incast-16-seed2002,C-incast,2002,trace,configs/incast-16-seed2002.yaml,topologies/topology-buffer100Gb.yaml,traces/incast-16-seed2002.csv
incast-16-seed2003,C-incast,2003,trace,configs/incast-16-seed2003.yaml,topologies/topology-buffer100Gb.yaml,traces/incast-16-seed2003.csv
victim-asymmetric,D-victim,0,trace,configs/victim-asymmetric.yaml,topologies/topology-victim-asymmetric.yaml,traces/victim-asymmetric.csv
victim-symmetric,D-victim,0,trace,configs/victim-symmetric.yaml,topologies/topology-victim-symmetric.yaml,traces/victim-symmetric.csv
