interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,generate_flow,14,S45.0,7,32,303.034
0,generate_flow,2,S01.0,1,7,214.343
0,generate_flow,25,S04.1,12,37,307.539
0,generate_flow,126,S54.0,63,86,356.348
0,generate_flow,22,S03.0,11,123,289.634
0,generate_flow,63,S62.1,31,72,314.583
0,generate_flow,127,S54.1,63,3,378.525
0,generate_flow,40,S15.0,20,73,290.144
0,generate_flow,88,S23.0,44,119,257.539
0,generate_flow,121,S44.1,60,91,260.625
0,generate_flow,89,S23.1,44,86,221.102
0,generate_flow,26,S40.0,13,121,296.817
0,generate_flow,67,S34.1,33,64,255.236
0,generate_flow,83,S49.1,41,3,259.612
0,generate_flow,66,S34.0,33,40,280.232
0,generate_flow,32,S11.0,16,17,343.785
0,generate_flow,96,S50.0,48,57,388.916
0,generate_flow,48,S08.0,24,36,366.404
0,generate_flow,75,S32.1,37,47,326.198
0,generate_flow,105,S30.1,52,43,315.208
0,generate_flow,93,S24.1,46,10,381.762
0,generate_flow,52,S33.0,26,24,399.281
0,generate_flow,65,S21.1,32,48,302.036
0,generate_flow,11,S63.1,5,121,333.779
0,generate_flow,68,S57.0,34,88,377.635
0,generate_flow,82,S49.0,41,16,219.385
0,generate_flow,71,S17.1,35,8,227.964
0,generate_flow,122,S46.0,61,65,299.931
0,generate_flow,17,S52.1,8,64,223.996
0,generate_flow,91,S28.1,45,53,339.651
0,generate_flow,31,S05.1,15,9,278.543
0,generate_flow,43,S53.1,21,39,317.215
0,generate_flow,44,S07.0,22,14,201.413
0,generate_flow,109,S31.1,54,1,235.394
0,generate_flow,125,S56.1,62,19,237.438
0,generate_flow,49,S08.1,24,118,357.805
0,generate_flow,37,S43.1,18,14,315.567
0,generate_flow,0,S00.0,0,64,212.171
0,generate_flow,28,S58.0,14,106,221.82
0,generate_flow,101,S38.1,50,52,200.08
0,generate_flow,107,S55.1,53,99,245.893
0,generate_flow,4,S10.0,2,90,389.905
0,generate_flow,115,S47.1,57,14,220.863
0,generate_flow,27,S40.1,13,106,269.709
0,generate_flow,62,S62.0,31,83,339.771
0,generate_flow,123,S46.1,61,66,317.544
0,generate_flow,102,S48.0,51,115,337.651
0,generate_flow,98,S26.0,49,12,252.535
0,generate_flow,58,S13.0,29,66,302.055
0,generate_flow,120,S44.0,60,114,381.254
0,generate_flow,42,S53.0,21,90,341.888
0,generate_flow,51,S16.1,25,10,281.354
0,generate_flow,70,S17.0,35,63,277.957
