interval,event,switch,switch_name,port,target_type,target_index,flowlet_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,15,S05,0,switch,12,8725724278030336,31,9,0,1,134.869,0,0,417.815,0
1,stage_arrival,14,S58,0,switch,11,8162774324609024,29,31,0,1,169.38,0,0,459.757,0
1,stage_arrival,28,S12,2,switch,20,16044073672507392,57,126,0,1,296.117,0,0,346.304,0
1,stage_arrival,38,S42,1,switch,40,21392098230009856,76,51,0,1,122.733,0,0,459.107,0
1,stage_arrival,29,S13,5,switch,31,16607023625928704,59,11,0,1,131.191,0,0,485.935,0
1,stage_arrival,40,S29,0,switch,36,22517998136852480,80,114,0,1,264.754,0,0,491.478,0
1,stage_arrival,18,S43,0,switch,38,10133099161583616,36,32,0,1,157.659,0,0,338.924,0
1,stage_arrival,37,S32,0,switch,0,21110623253299200,75,47,0,1,103.31,0,0,489.296,0
1,stage_arrival,8,S52,0,switch,1,4503599627370496,16,6,0,1,255.562,0,0,506.858,0
1,stage_arrival,46,S24,1,switch,44,26177172834091008,93,10,0,1,217.722,0,0,572.644,0
1,stage_arrival,17,S35,1,switch,56,9570149208162304,34,2,0,1,252.252,0,0,421.58,0
1,stage_arrival,19,S06,1,switch,22,10977524091715584,39,15,0,1,210.644,0,0,462.579,0
1,stage_arrival,39,S19,0,switch,36,22236523160141824,79,121,0,1,204.72,0,0,309.639,0
1,stage_arrival,43,S22,0,switch,0,24206847997116416,86,112,0,1,203.304,0,0,370.342,0
1,stage_arrival,41,S49,0,switch,11,23362423066984448,83,3,0,1,188.868,0,0,389.418,0
1,stage_arrival,36,S18,1,switch,39,20547673299877888,73,65,0,1,215.617,0,0,582.817,0
1,stage_arrival,13,S40,1,switch,52,7599824371187712,27,106,0,1,151.023,0,0,404.563,0
1,stage_arrival,34,S57,2,switch,14,19421773393035264,69,28,0,1,113.541,0,0,312.625,0
1,stage_arrival,31,S62,0,switch,29,17732923532771328,63,72,0,1,171.288,0,0,471.875,0
1,stage_arrival,12,S04,2,switch,15,6755399441055744,24,39,0,1,124.853,0,0,317.688,0
1,stage_arrival,31,S62,2,switch,10,17451448556060672,62,83,0,1,234.199,0,0,509.656,0
1,stage_arrival,45,S28,3,switch,3,25614222880669696,91,53,0,1,145.823,0,0,509.477,0
1,stage_arrival,32,S21,1,switch,43,18014398509481984,64,101,0,1,261.425,0,0,428.418,0
1,stage_arrival,21,S53,0,switch,15,12103423998558208,43,39,0,1,263.511,0,0,475.822,0
1,stage_arrival,10,S61,0,switch,1,5910974510923776,21,0,0,1,227.172,0,0,520.505,0
1,stage_arrival,19,S06,3,switch,10,10696049115004928,38,63,0,1,169.014,0,0,351.389,0
1,stage_arrival,44,S23,0,switch,43,24769797950537728,88,119,0,1,211.017,0,0,386.309,0
1,stage_arrival,10,S61,7,terminal,21,5629499534213120,20,21,0,1,1000,0,0,585.675,0
1,stage_arrival,43,S22,3,switch,44,24488322973827072,87,92,0,1,274.638,0,0,384.533,0
1,stage_arrival,9,S59,0,switch,1,5066549580791808,18,62,0,1,295.318,0,0,401.927,0
1,stage_arrival,30,S14,1,switch,20,17169973579350016,61,6,0,1,100.691,0,0,519.183,0
1,stage_arrival,13,S40,0,switch,6,7318349394477056,26,121,0,1,162.644,0,0,445.225,0
1,stage_arrival,27,S09,0,switch,24,15481123719086080,55,79,0,1,129.629,0,0,424.609,0
1,stage_arrival,33,S34,0,switch,26,18577348462903296,66,40,0,1,235.741,0,0,420.348,0
1,stage_arrival,7,S45,0,switch,27,4222124650659840,15,56,0,1,292,0,0,422.062,0
1,stage_arrival,4,S37,0,switch,0,2533274790395904,9,57,0,1,203.508,0,0,518.354,0
1,stage_arrival,28,S12,0,switch,16,15762598695796736,56,120,0,1,293.496,0,0,415.34,0
1,stage_arrival,20,S15,3,switch,25,11258999068426240,40,73,0,1,274.153,0,0,435.216,0
1,stage_arrival,1,S01,1,switch,6,844424930131968,3,104,0,1,265.041,0,0,585.052,0
1,stage_arrival,24,S08,1,switch,27,13510798882111488,48,36,0,1,295.728,0,0,549.606,0
1,stage_arrival,42,S20,3,switch,14,23925373020405760,85,11,0,1,182.917,0,0,450.236,0
1,stage_arrival,20,S15,3,switch,25,11540474045136896,41,83,0,1,274.153,0,0,354.787,0
1,stage_arrival,22,S07,3,switch,26,12384898975268864,44,14,0,1,124.406,0,0,302.119,0
1,stage_arrival,41,S49,5,switch,48,23080948090273792,82,16,0,1,181.228,0,0,329.078,0
1,stage_arrival,2,S10,0,switch,27,1125899906842624,4,90,0,1,137.994,0,0,584.858,0
1,stage_arrival,22,S07,0,switch,19,12666373951979520,45,78,0,1,118.259,0,0,361.701,0
1,stage_arrival,26,S33,2,switch,33,14918173765664768,53,47,0,1,257.766,0,0,557.637,0
1,stage_arrival,1,S01,0,switch,0,562949953421312,2,7,0,1,159.728,0,0,321.515,0
1,stage_arrival,21,S53,1,switch,40,11821949021847552,42,90,0,1,137.143,0,0,512.832,0
1,stage_arrival,11,S03,0,switch,6,6473924464345088,23,12,0,1,132.338,0,0,321.043,0
1,stage_arrival,23,S39,2,switch,50,13229323905400832,47,50,0,1,253.771,0,0,464.751,0
1,stage_arrival,44,S23,0,switch,43,25051272927248384,89,86,0,1,211.017,0,0,331.654,0
1,stage_arrival,3,S27,2,switch,49,1688849860263936,6,103,0,1,266.441,0,0,483.073,0
1,stage_arrival,25,S16,1,switch,20,14355223812243456,51,10,0,1,119.9,0,0,422.031,0
1,stage_arrival,36,S18,2,switch,40,20266198323167232,72,55,0,1,242.342,0,0,572.785,0
1,stage_arrival,47,S25,0,switch,46,26458647810801664,94,97,0,1,291.732,0,0,591.225,0
1,stage_arrival,45,S28,0,switch,15,25332747903959040,90,21,0,1,170.054,0,0,376.084,0
1,stage_arrival,18,S43,1,switch,60,10414574138294272,37,14,0,1,132.709,0,0,473.351,0
1,stage_arrival,26,S33,0,switch,3,14636698788954112,52,24,0,1,174.708,0,0,598.922,0
1,stage_arrival,3,S27,4,switch,26,1970324836974592,7,122,0,1,158.334,0,0,450.419,0
1,stage_arrival,35,S17,0,switch,25,19703248369745920,70,63,0,1,277.107,0,0,416.936,0
1,stage_arrival,40,S29,1,switch,45,22799473113563136,81,87,0,1,131.396,0,0,317.927,0
1,stage_arrival,46,S24,3,switch,48,25895697857380352,92,107,0,1,198.106,0,0,425.829,0
1,stage_arrival,14,S58,2,switch,34,7881299347898368,28,106,0,1,224.263,0,0,332.73,0
1,stage_arrival,23,S39,3,switch,13,12947848928690176,46,80,0,1,140.319,0,0,433.95,0
1,stage_arrival,34,S57,0,switch,20,19140298416324608,68,88,0,1,180.835,0,0,566.453,0
1,stage_arrival,2,S10,0,switch,27,1407374883553280,5,70,0,1,137.994,0,0,494.829,0
1,stage_arrival,38,S42,0,switch,42,21673573206720512,77,4,0,1,176.64,0,0,598.687,0
1,stage_arrival,24,S08,0,switch,22,13792273858822144,49,118,0,1,182.424,0,0,536.708,0
1,stage_arrival,11,S03,0,switch,6,6192449487634432,22,123,0,1,132.338,0,0,434.45,0
1,stage_arrival,33,S34,0,switch,26,18858823439613952,67,64,0,1,235.741,0,0,382.853,0
1,stage_arrival,37,S32,0,switch,0,20829148276588544,74,94,0,1,103.31,0,0,532.403,0
1,stage_arrival,15,S05,0,switch,12,8444249301319680,30,4,0,1,134.869,0,0,583.071,0
1,stage_arrival,0,S00,0,switch,1,0,0,64,0,1,183.324,0,0,318.257,0
1,stage_arrival,0,S00,2,switch,3,281474976710656,1,99,0,1,149.8,0,0,500.153,0
1,stage_arrival,9,S59,2,switch,21,5348024557502464,19,126,0,1,160.744,0,0,401.369,0
1,stage_arrival,16,S11,0,switch,12,9007199254740992,32,17,0,1,200.84,0,0,515.677,0
1,stage_arrival,16,S11,0,switch,12,9288674231451648,33,114,0,1,200.84,0,0,449.238,0
1,stage_arrival,12,S04,5,switch,18,7036874417766400,25,37,0,1,178.427,0,0,461.308,0
1,stage_arrival,29,S13,2,switch,28,16325548649218048,58,66,0,1,248.906,0,0,453.083,0
1,stage_arrival,5,S63,2,switch,31,2814749767106560,10,21,0,1,151.987,0,0,586.267,0
1,stage_arrival,4,S37,3,switch,50,2251799813685248,8,101,0,1,165.152,0,0,325.31,0
1,stage_arrival,47,S25,0,switch,46,26740122787512320,95,59,0,1,291.732,0,0,496.993,0
1,stage_arrival,32,S21,1,switch,43,18295873486192640,65,48,0,1,261.425,0,0,453.053,0
1,stage_arrival,7,S45,0,switch,27,3940649673949184,14,32,0,1,292,0,0,454.551,0
1,stage_arrival,5,S63,0,switch,0,3096224743817216,11,121,0,1,259.679,0,0,500.668,0
1,stage_arrival,39,S19,0,switch,36,21955048183431168,78,33,0,1,204.72,0,0,487.939,0
1,stage_arrival,35,S17,2,switch,37,19984723346456576,71,8,0,1,246.878,0,0,341.947,0
1,stage_arrival,6,S02,2,switch,12,3659174697238528,13,33,0,1,128.791,0,0,590.696,0
1,stage_arrival,17,S35,0,switch,33,9851624184872960,35,98,0,1,196.155,0,0,584.609,0
1,stage_arrival,27,S09,0,switch,24,15199648742375424,54,110,0,1,129.629,0,0,569.668,0
1,stage_arrival,8,S52,0,switch,1,4785074604081152,17,64,0,1,255.562,0,0,335.994,0
1,stage_arrival,30,S14,0,switch,29,16888498602639360,60,54,0,1,288.048,0,0,353.859,0
1,stage_arrival,42,S20,2,switch,3,23643898043695104,84,66,0,1,251.806,0,0,575.715,0
1,stage_arrival,6,S02,0,switch,1,3377699720527872,12,65,0,1,138.732,0,0,580.818,0
1,stage_arrival,25,S16,1,switch,20,14073748835532800,50,58,0,1,119.9,0,0,587.606,0
1,allocate_send_arrival,0,S00,0,switch,1,0,0,64,0,1,183.324,0,183.324,134.933,0
1,enqueue_residual,0,S00,0,switch,1,0,0,64,0,1,183.324,0,0,100,0
1,drop_shared_buffer_overflow,0,S00,0,switch,1,0,0,64,0,1,183.324,0,0,0,34.9326
1,allocate_send_arrival,19,S06,3,switch,10,10696049115004928,38,63,0,1,169.014,0,169.014,182.375,0
1,enqueue_residual,19,S06,3,switch,10,10696049115004928,38,63,0,1,169.014,0,0,100,0
1,drop_shared_buffer_overflow,19,S06,3,switch,10,10696049115004928,38,63,0,1,169.014,0,0,0,82.3753
1,allocate_send_arrival,31,S62,2,switch,10,17451448556060672,62,83,0,1,234.199,0,234.199,275.457,0
1,enqueue_residual,31,S62,2,switch,10,17451448556060672,62,83,0,1,234.199,0,0,100,0
1,drop_shared_buffer_overflow,31,S62,2,switch,10,17451448556060672,62,83,0,1,234.199,0,0,0,175.457
