interval,event,switch,switch_name,port,target_type,target_index,flow_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,22,S07,3,switch,26,50946,44,0,0,1,124.406,0,0,100,0
1,stage_arrival,11,S03,0,switch,6,50943,23,0,0,1,132.338,0,0,100,0
1,stage_arrival,9,S59,0,switch,1,50944,19,0,0,1,295.318,0,0,100,0
1,stage_arrival,6,S02,0,switch,1,50947,12,0,0,1,138.732,0,0,100,0
1,stage_arrival,33,S34,0,switch,26,50940,66,0,0,1,235.741,0,0,100,0
1,stage_arrival,35,S17,2,switch,37,50945,70,0,0,1,246.878,0,0,100,0
1,stage_arrival,55,S60,1,switch,37,50941,110,0,0,1,243.133,0,0,100,0
1,stage_arrival,52,S30,2,switch,54,50942,105,0,0,1,164.752,0,0,100,0
1,allocate_send_arrival,52,S30,2,switch,54,50942,105,0,0,1,164.752,0,100,0,0
1,allocate_send_arrival,35,S17,2,switch,37,50945,70,0,0,1,246.878,0,100,0,0
1,allocate_send_arrival,9,S59,0,switch,1,50944,19,0,0,1,295.318,0,100,0,0
1,allocate_send_arrival,11,S03,0,switch,6,50943,23,0,0,1,132.338,0,100,0,0
1,allocate_send_arrival,33,S34,0,switch,26,50940,66,0,0,1,235.741,0,100,0,0
1,allocate_send_arrival,22,S07,3,switch,26,50946,44,0,0,1,124.406,0,100,0,0
1,allocate_send_arrival,55,S60,1,switch,37,50941,110,0,0,1,243.133,0,100,0,0
1,allocate_send_arrival,6,S02,0,switch,1,50947,12,0,0,1,138.732,0,100,0,0
2,stage_arrival,1,S01,0,switch,0,50944,19,0,0,2,159.728,0,0,100,0
2,stage_arrival,1,S01,0,switch,0,50947,12,0,0,2,159.728,0,0,100,0
2,stage_arrival,26,S33,0,switch,3,50940,66,0,0,2,174.708,0,0,100,0
2,stage_arrival,11,S03,0,switch,6,50943,23,0,0,2,132.338,0,0,100,0
2,stage_arrival,33,S34,0,switch,26,50940,66,0,0,2,235.741,0,0,100,0
2,stage_arrival,55,S60,1,switch,37,50941,110,0,0,2,243.133,0,0,100,0
2,stage_arrival,26,S33,0,switch,3,50946,44,0,0,2,174.708,0,0,100,0
2,stage_arrival,6,S02,0,switch,1,50943,23,0,0,2,138.732,0,0,100,0
2,stage_arrival,52,S30,2,switch,54,50942,105,0,0,2,164.752,0,0,100,0
2,stage_arrival,37,S32,0,switch,0,50941,110,0,0,2,103.31,0,0,100,0
2,stage_arrival,37,S32,0,switch,0,50945,70,0,0,2,103.31,0,0,100,0
2,stage_arrival,54,S31,1,switch,37,50942,105,0,0,2,242.335,0,0,100,0
