interval,flow_id,source_terminal,destination_terminal,offered_gbit
0,51760,112,0,100.000000
1,51760,112,0,100.000000
2,51760,112,0,100.000000
3,51760,112,0,100.000000
4,51760,112,0,100.000000
5,51760,112,0,100.000000
6,51760,112,0,100.000000
7,51760,112,0,100.000000
8,51760,112,0,100.000000
9,51760,112,0,100.000000
10,51760,112,0,100.000000
11,51760,112,0,100.000000
12,51760,112,0,100.000000
13,51760,112,0,100.000000
14,51760,112,0,100.000000
15,51760,112,0,100.000000
16,51760,112,0,100.000000
17,51760,112,0,100.000000
18,51760,112,0,100.000000
19,51760,112,0,100.000000
0,51761,42,0,100.000000
1,51761,42,0,100.000000
2,51761,42,0,100.000000
3,51761,42,0,100.000000
4,51761,42,0,100.000000
5,51761,42,0,100.000000
6,51761,42,0,100.000000
7,51761,42,0,100.000000
8,51761,42,0,100.000000
9,51761,42,0,100.000000
10,51761,42,0,100.000000
11,51761,42,0,100.000000
12,51761,42,0,100.000000
13,51761,42,0,100.000000
14,51761,42,0,100.000000
15,51761,42,0,100.000000
16,51761,42,0,100.000000
17,51761,42,0,100.000000
18,51761,42,0,100.000000
19,51761,42,0,100.000000
0,51762,58,0,100.000000
1,51762,58,0,100.000000
2,51762,58,0,100.000000
3,51762,58,0,100.000000
4,51762,58,0,100.000000
5,51762,58,0,100.000000
6,51762,58,0,100.000000
7,51762,58,0,100.000000
8,51762,58,0,100.000000
9,51762,58,0,100.000000
10,51762,58,0,100.000000
11,51762,58,0,100.000000
12,51762,58,0,100.000000
13,51762,58,0,100.000000
14,51762,58,0,100.000000
15,51762,58,0,100.000000
16,51762,58,0,100.000000
17,51762,58,0,100.000000
18,51762,58,0,100.000000
19,51762,58,0,100.000000
0,51763,10,0,100.000000
1,51763,10,0,100.000000
2,51763,10,0,100.000000
3,51763,10,0,100.000000
4,51763,10,0,100.000000
5,51763,10,0,100.000000
6,51763,10,0,100.000000
7,51763,10,0,100.000000
8,51763,10,0,100.000000
9,51763,10,0,100.000000
10,51763,10,0,100.000000
11,51763,10,0,100.000000
12,51763,10,0,100.000000
13,51763,10,0,100.000000
14,51763,10,0,100.000000
15,51763,10,0,100.000000
16,51763,10,0,100.000000
17,51763,10,0,100.000000
18,51763,10,0,100.000000
19,51763,10,0,100.000000
0,51764,40,0,100.000000
1,51764,40,0,100.000000
2,51764,40,0,100.000000
3,51764,40,0,100.000000
4,51764,40,0,100.000000
5,51764,40,0,100.000000
6,51764,40,0,100.000000
7,51764,40,0,100.000000
8,51764,40,0,100.000000
9,51764,40,0,100.000000
10,51764,40,0,100.000000
11,51764,40,0,100.000000
12,51764,40,0,100.000000
13,51764,40,0,100.000000
14,51764,40,0,100.000000
15,51764,40,0,100.000000
16,51764,40,0,100.000000
17,51764,40,0,100.000000
18,51764,40,0,100.000000
19,51764,40,0,100.000000
0,51765,121,0,100.000000
1,51765,121,0,100.000000
2,51765,121,0,100.000000
3,51765,121,0,100.000000
4,51765,121,0,100.000000
5,51765,121,0,100.000000
6,51765,121,0,100.000000
7,51765,121,0,100.000000
8,51765,121,0,100.000000
9,51765,121,0,100.000000
10,51765,121,0,100.000000
11,51765,121,0,100.000000
12,51765,121,0,100.000000
13,51765,121,0,100.000000
14,51765,121,0,100.000000
15,51765,121,0,100.000000
16,51765,121,0,100.000000
17,51765,121,0,100.000000
18,51765,121,0,100.000000
19,51765,121,0,100.000000
0,51766,30,0,100.000000
1,51766,30,0,100.000000
2,51766,30,0,100.000000
3,51766,30,0,100.000000
4,51766,30,0,100.000000
5,51766,30,0,100.000000
6,51766,30,0,100.000000
7,51766,30,0,100.000000
8,51766,30,0,100.000000
9,51766,30,0,100.000000
10,51766,30,0,100.000000
11,51766,30,0,100.000000
12,51766,30,0,100.000000
13,51766,30,0,100.000000
14,51766,30,0,100.000000
15,51766,30,0,100.000000
16,51766,30,0,100.000000
17,51766,30,0,100.000000
18,51766,30,0,100.000000
19,51766,30,0,100.000000
0,51767,43,0,100.000000
1,51767,43,0,100.000000
2,51767,43,0,100.000000
3,51767,43,0,100.000000
4,51767,43,0,100.000000
5,51767,43,0,100.000000
6,51767,43,0,100.000000
7,51767,43,0,100.000000
8,51767,43,0,100.000000
9,51767,43,0,100.000000
10,51767,43,0,100.000000
11,51767,43,0,100.000000
12,51767,43,0,100.000000
13,51767,43,0,100.000000
14,51767,43,0,100.000000
15,51767,43,0,100.000000
16,51767,43,0,100.000000
17,51767,43,0,100.000000
18,51767,43,0,100.000000
19,51767,43,0,100.000000
0,51768,55,0,100.000000
1,51768,55,0,100.000000
2,51768,55,0,100.000000
3,51768,55,0,100.000000
4,51768,55,0,100.000000
5,51768,55,0,100.000000
6,51768,55,0,100.000000
7,51768,55,0,100.000000
8,51768,55,0,100.000000
9,51768,55,0,100.000000
10,51768,55,0,100.000000
11,51768,55,0,100.000000
12,51768,55,0,100.000000
13,51768,55,0,100.000000
14,51768,55,0,100.000000
15,51768,55,0,100.000000
16,51768,55,0,100.000000
17,51768,55,0,100.000000
18,51768,55,0,100.000000
19,51768,55,0,100.000000
0,51769,94,0,100.000000
1,51769,94,0,100.000000
2,51769,94,0,100.000000
3,51769,94,0,100.000000
4,51769,94,0,100.000000
5,51769,94,0,100.000000
6,51769,94,0,100.000000
7,51769,94,0,100.000000
8,51769,94,0,100.000000
9,51769,94,0,100.000000
10,51769,94,0,100.000000
11,51769,94,0,100.000000
12,51769,94,0,100.000000
13,51769,94,0,100.000000
14,51769,94,0,100.000000
15,51769,94,0,100.000000
16,51769,94,0,100.000000
17,51769,94,0,100.000000
18,51769,94,0,100.000000
19,51769,94,0,100.000000
0,51770,41,0,100.000000
1,51770,41,0,100.000000
2,51770,41,0,100.000000
3,51770,41,0,100.000000
4,51770,41,0,100.000000
5,51770,41,0,100.000000
6,51770,41,0,100.000000
7,51770,41,0,100.000000
8,51770,41,0,100.000000
9,51770,41,0,100.000000
10,51770,41,0,100.000000
11,51770,41,0,100.000000
12,51770,41,0,100.000000
13,51770,41,0,100.000000
14,51770,41,0,100.000000
15,51770,41,0,100.000000
16,51770,41,0,100.000000
17,51770,41,0,100.000000
18,51770,41,0,100.000000
19,51770,41,0,100.000000
0,51771,114,0,100.000000
1,51771,114,0,100.000000
2,51771,114,0,100.000000
3,51771,114,0,100.000000
4,51771,114,0,100.000000
5,51771,114,0,100.000000
6,51771,114,0,100.000000
7,51771,114,0,100.000000
8,51771,114,0,100.000000
9,51771,114,0,100.000000
10,51771,114,0,100.000000
11,51771,114,0,100.000000
12,51771,114,0,100.000000
13,51771,114,0,100.000000
14,51771,114,0,100.000000
15,51771,114,0,100.000000
16,51771,114,0,100.000000
17,51771,114,0,100.000000
18,51771,114,0,100.000000
19,51771,114,0,100.000000
0,51772,101,0,100.000000
1,51772,101,0,100.000000
2,51772,101,0,100.000000
3,51772,101,0,100.000000
4,51772,101,0,100.000000
5,51772,101,0,100.000000
6,51772,101,0,100.000000
7,51772,101,0,100.000000
8,51772,101,0,100.000000
9,51772,101,0,100.000000
10,51772,101,0,100.000000
11,51772,101,0,100.000000
12,51772,101,0,100.000000
13,51772,101,0,100.000000
14,51772,101,0,100.000000
15,51772,101,0,100.000000
16,51772,101,0,100.000000
17,51772,101,0,100.000000
18,51772,101,0,100.000000
19,51772,101,0,100.000000
0,51773,48,0,100.000000
1,51773,48,0,100.000000
2,51773,48,0,100.000000
3,51773,48,0,100.000000
4,51773,48,0,100.000000
5,51773,48,0,100.000000
6,51773,48,0,100.000000
7,51773,48,0,100.000000
8,51773,48,0,100.000000
9,51773,48,0,100.000000
10,51773,48,0,100.000000
11,51773,48,0,100.000000
12,51773,48,0,100.000000
13,51773,48,0,100.000000
14,51773,48,0,100.000000
15,51773,48,0,100.000000
16,51773,48,0,100.000000
17,51773,48,0,100.000000
18,51773,48,0,100.000000
19,51773,48,0,100.000000
0,51774,96,0,100.000000
1,51774,96,0,100.000000
2,51774,96,0,100.000000
3,51774,96,0,100.000000
4,51774,96,0,100.000000
5,51774,96,0,100.000000
6,51774,96,0,100.000000
7,51774,96,0,100.000000
8,51774,96,0,100.000000
9,51774,96,0,100.000000
10,51774,96,0,100.000000
11,51774,96,0,100.000000
12,51774,96,0,100.000000
13,51774,96,0,100.000000
14,51774,96,0,100.000000
15,51774,96,0,100.000000
16,51774,96,0,100.000000
17,51774,96,0,100.000000
18,51774,96,0,100.000000
19,51774,96,0,100.000000
0,51775,122,0,100.000000
1,51775,122,0,100.000000
2,51775,122,0,100.000000
3,51775,122,0,100.000000
4,51775,122,0,100.000000
5,51775,122,0,100.000000
6,51775,122,0,100.000000
7,51775,122,0,100.000000
8,51775,122,0,100.000000
9,51775,122,0,100.000000
10,51775,122,0,100.000000
11,51775,122,0,100.000000
12,51775,122,0,100.000000
13,51775,122,0,100.000000
14,51775,122,0,100.000000
15,51775,122,0,100.000000
16,51775,122,0,100.000000
17,51775,122,0,100.000000
18,51775,122,0,100.000000
19,51775,122,0,100.000000
