interval,event,switch,switch_name,port,target_type,target_index,flowlet_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,7,S45,1,switch,60,20002,14,120,0,1,100.637,0,0,75,0
1,stage_arrival,7,S45,1,switch,60,20006,14,120,0,1,100.637,0,0,75,0
1,stage_arrival,7,S45,1,switch,60,20000,14,120,0,1,100.637,0,0,75,0
1,stage_arrival,7,S45,1,switch,60,20007,14,120,0,1,100.637,0,0,75,0
1,stage_arrival,7,S45,1,switch,60,20004,14,120,0,1,100.637,0,0,75,0
1,stage_arrival,7,S45,1,switch,60,20001,14,120,0,1,100.637,0,0,75,0
1,stage_arrival,7,S45,1,switch,60,20008,14,120,0,1,100.637,0,0,10,0
1,stage_arrival,7,S45,1,switch,60,20005,14,120,0,1,100.637,0,0,75,0
1,stage_arrival,7,S45,1,switch,60,20003,14,120,0,1,100.637,0,0,75,0
1,allocate_send_arrival,7,S45,1,switch,60,20002,14,120,0,1,100.637,0,11.3296,63.6704,0
1,enqueue_residual,7,S45,1,switch,60,20002,14,120,0,1,100.637,0,0,63.6704,0
1,allocate_send_arrival,7,S45,1,switch,60,20006,14,120,0,1,100.637,0,11.3296,63.6704,0
1,enqueue_residual,7,S45,1,switch,60,20006,14,120,0,1,100.637,0,0,36.3296,0
1,drop_shared_buffer_overflow,7,S45,1,switch,60,20006,14,120,0,1,100.637,0,0,0,27.3407
1,allocate_send_arrival,7,S45,1,switch,60,20000,14,120,0,1,100.637,0,11.3296,63.6704,0
1,drop_shared_buffer_overflow,7,S45,1,switch,60,20000,14,120,0,1,100.637,0,0,0,63.6704
1,allocate_send_arrival,7,S45,1,switch,60,20007,14,120,0,1,100.637,0,11.3296,63.6704,0
1,drop_shared_buffer_overflow,7,S45,1,switch,60,20007,14,120,0,1,100.637,0,0,0,63.6704
1,allocate_send_arrival,7,S45,1,switch,60,20004,14,120,0,1,100.637,0,11.3296,63.6704,0
