interval,event,switch,switch_name,port,target_type,target_index,capacity_gbit,queued_before_gbit,sent_gbit,queued_after_gbit,shared_queued_before_gbit,shared_queued_after_gbit,shared_buffer_gbit,dropped_gbit,active_queue_entries
1,egress,7,S45,1,switch,60,100.637,0,99.9348,0,0,0,100,0,0
2,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
2,egress,60,S44,1,terminal,120,1000,0,99.9348,0,0,0,100,0,0
3,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
3,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
4,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
4,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
5,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
5,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
6,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
6,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
7,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
7,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
8,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
8,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
9,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
9,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
10,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
10,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
11,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
11,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
12,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
12,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
13,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
13,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
14,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
14,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
15,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
15,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
16,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
16,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
17,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
17,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
18,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
18,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
19,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
19,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
20,egress,7,S45,1,switch,60,100.637,0,99.4551,0,0,0,100,0,0
20,egress,60,S44,1,terminal,120,1000,0,99.4551,0,0,0,100,0,0
