interval,flow_id,source_terminal,destination_terminal,offered_gbit
0,20000,14,120,75.000000
1,20000,14,120,75.000000
2,20000,14,120,75.000000
3,20000,14,120,75.000000
4,20000,14,120,75.000000
5,20000,14,120,75.000000
6,20000,14,120,75.000000
7,20000,14,120,75.000000
8,20000,14,120,75.000000
9,20000,14,120,75.000000
10,20000,14,120,75.000000
11,20000,14,120,75.000000
12,20000,14,120,75.000000
13,20000,14,120,75.000000
14,20000,14,120,75.000000
15,20000,14,120,75.000000
16,20000,14,120,75.000000
17,20000,14,120,75.000000
18,20000,14,120,75.000000
19,20000,14,120,75.000000
20,20000,14,120,75.000000
21,20000,14,120,75.000000
22,20000,14,120,75.000000
23,20000,14,120,75.000000
24,20000,14,120,75.000000
25,20000,14,120,75.000000
26,20000,14,120,75.000000
27,20000,14,120,75.000000
28,20000,14,120,75.000000
29,20000,14,120,75.000000
30,20000,14,120,75.000000
31,20000,14,120,75.000000
32,20000,14,120,75.000000
33,20000,14,120,75.000000
34,20000,14,120,75.000000
35,20000,14,120,75.000000
36,20000,14,120,75.000000
37,20000,14,120,75.000000
38,20000,14,120,75.000000
39,20000,14,120,75.000000
0,20001,14,120,75.000000
1,20001,14,120,75.000000
2,20001,14,120,75.000000
3,20001,14,120,75.000000
4,20001,14,120,75.000000
5,20001,14,120,75.000000
6,20001,14,120,75.000000
7,20001,14,120,75.000000
8,20001,14,120,75.000000
9,20001,14,120,75.000000
10,20001,14,120,75.000000
11,20001,14,120,75.000000
12,20001,14,120,75.000000
13,20001,14,120,75.000000
14,20001,14,120,75.000000
15,20001,14,120,75.000000
16,20001,14,120,75.000000
17,20001,14,120,75.000000
18,20001,14,120,75.000000
19,20001,14,120,75.000000
20,20001,14,120,75.000000
21,20001,14,120,75.000000
22,20001,14,120,75.000000
23,20001,14,120,75.000000
24,20001,14,120,75.000000
25,20001,14,120,75.000000
26,20001,14,120,75.000000
27,20001,14,120,75.000000
28,20001,14,120,75.000000
29,20001,14,120,75.000000
30,20001,14,120,75.000000
31,20001,14,120,75.000000
32,20001,14,120,75.000000
33,20001,14,120,75.000000
34,20001,14,120,75.000000
35,20001,14,120,75.000000
36,20001,14,120,75.000000
37,20001,14,120,75.000000
38,20001,14,120,75.000000
39,20001,14,120,75.000000
0,20002,14,120,75.000000
1,20002,14,120,75.000000
2,20002,14,120,75.000000
3,20002,14,120,75.000000
4,20002,14,120,75.000000
5,20002,14,120,75.000000
6,20002,14,120,75.000000
7,20002,14,120,75.000000
8,20002,14,120,75.000000
9,20002,14,120,75.000000
10,20002,14,120,75.000000
11,20002,14,120,75.000000
12,20002,14,120,75.000000
13,20002,14,120,75.000000
14,20002,14,120,75.000000
15,20002,14,120,75.000000
16,20002,14,120,75.000000
17,20002,14,120,75.000000
18,20002,14,120,75.000000
19,20002,14,120,75.000000
20,20002,14,120,75.000000
21,20002,14,120,75.000000
22,20002,14,120,75.000000
23,20002,14,120,75.000000
24,20002,14,120,75.000000
25,20002,14,120,75.000000
26,20002,14,120,75.000000
27,20002,14,120,75.000000
28,20002,14,120,75.000000
29,20002,14,120,75.000000
30,20002,14,120,75.000000
31,20002,14,120,75.000000
32,20002,14,120,75.000000
33,20002,14,120,75.000000
34,20002,14,120,75.000000
35,20002,14,120,75.000000
36,20002,14,120,75.000000
37,20002,14,120,75.000000
38,20002,14,120,75.000000
39,20002,14,120,75.000000
0,20003,14,120,75.000000
1,20003,14,120,75.000000
2,20003,14,120,75.000000
3,20003,14,120,75.000000
4,20003,14,120,75.000000
5,20003,14,120,75.000000
6,20003,14,120,75.000000
7,20003,14,120,75.000000
8,20003,14,120,75.000000
9,20003,14,120,75.000000
10,20003,14,120,75.000000
11,20003,14,120,75.000000
12,20003,14,120,75.000000
13,20003,14,120,75.000000
14,20003,14,120,75.000000
15,20003,14,120,75.000000
16,20003,14,120,75.000000
17,20003,14,120,75.000000
18,20003,14,120,75.000000
19,20003,14,120,75.000000
20,20003,14,120,75.000000
21,20003,14,120,75.000000
22,20003,14,120,75.000000
23,20003,14,120,75.000000
24,20003,14,120,75.000000
25,20003,14,120,75.000000
26,20003,14,120,75.000000
27,20003,14,120,75.000000
28,20003,14,120,75.000000
29,20003,14,120,75.000000
30,20003,14,120,75.000000
31,20003,14,120,75.000000
32,20003,14,120,75.000000
33,20003,14,120,75.000000
34,20003,14,120,75.000000
35,20003,14,120,75.000000
36,20003,14,120,75.000000
37,20003,14,120,75.000000
38,20003,14,120,75.000000
39,20003,14,120,75.000000
0,20004,14,120,75.000000
1,20004,14,120,75.000000
2,20004,14,120,75.000000
3,20004,14,120,75.000000
4,20004,14,120,75.000000
5,20004,14,120,75.000000
6,20004,14,120,75.000000
7,20004,14,120,75.000000
8,20004,14,120,75.000000
9,20004,14,120,75.000000
10,20004,14,120,75.000000
