interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,trace_offer,14,S45.0,7,120,75
0,trace_offer,14,S45.0,7,120,75
0,trace_offer,14,S45.0,7,120,75
0,trace_offer,14,S45.0,7,120,75
0,trace_offer,14,S45.0,7,120,75
0,trace_offer,14,S45.0,7,120,75
0,trace_offer,14,S45.0,7,120,75
0,trace_offer,14,S45.0,7,120,75
0,trace_offer,14,S45.0,7,120,10
0,send,14,S45.0,7,120,11.2418
0,send,14,S45.0,7,120,11.2418
0,send,14,S45.0,7,120,11.2418
0,send,14,S45.0,7,120,11.2418
0,send,14,S45.0,7,120,11.2418
0,send,14,S45.0,7,120,11.2418
0,send,14,S45.0,7,120,11.2418
0,send,14,S45.0,7,120,11.2418
0,send,14,S45.0,7,120,10
1,trace_offer,14,S45.0,7,120,75
1,trace_offer,14,S45.0,7,120,75
1,trace_offer,14,S45.0,7,120,75
1,trace_offer,14,S45.0,7,120,75
1,trace_offer,14,S45.0,7,120,75
1,trace_offer,14,S45.0,7,120,75
1,trace_offer,14,S45.0,7,120,75
1,trace_offer,14,S45.0,7,120,75
1,trace_offer,14,S45.0,7,120,10
1,send,14,S45.0,7,120,11.1819
1,send,14,S45.0,7,120,11.1819
1,send,14,S45.0,7,120,11.1819
1,send,14,S45.0,7,120,11.1819
1,send,14,S45.0,7,120,11.1819
1,send,14,S45.0,7,120,11.1819
1,send,14,S45.0,7,120,11.1819
1,send,14,S45.0,7,120,11.1819
1,send,14,S45.0,7,120,10
2,trace_offer,14,S45.0,7,120,75
2,trace_offer,14,S45.0,7,120,75
2,trace_offer,14,S45.0,7,120,75
2,trace_offer,14,S45.0,7,120,75
2,trace_offer,14,S45.0,7,120,75
2,trace_offer,14,S45.0,7,120,75
2,trace_offer,14,S45.0,7,120,75
2,trace_offer,14,S45.0,7,120,75
2,trace_offer,14,S45.0,7,120,10
2,send,14,S45.0,7,120,11.1819
2,send,14,S45.0,7,120,11.1819
2,send,14,S45.0,7,120,11.1819
2,send,14,S45.0,7,120,11.1819
2,send,14,S45.0,7,120,11.1819
2,send,14,S45.0,7,120,11.1819
2,send,14,S45.0,7,120,11.1819
2,send,14,S45.0,7,120,11.1819
2,send,14,S45.0,7,120,10
3,trace_offer,14,S45.0,7,120,75
3,trace_offer,14,S45.0,7,120,75
3,trace_offer,14,S45.0,7,120,75
3,trace_offer,14,S45.0,7,120,75
3,trace_offer,14,S45.0,7,120,75
3,trace_offer,14,S45.0,7,120,75
3,trace_offer,14,S45.0,7,120,75
3,trace_offer,14,S45.0,7,120,75
3,trace_offer,14,S45.0,7,120,10
3,receive,120,S44.0,60,14,11.2418
3,receive,120,S44.0,60,14,11.2418
3,receive,120,S44.0,60,14,10
3,receive,120,S44.0,60,14,11.2418
3,receive,120,S44.0,60,14,11.2418
3,receive,120,S44.0,60,14,11.2418
3,receive,120,S44.0,60,14,11.2418
3,receive,120,S44.0,60,14,11.2418
3,receive,120,S44.0,60,14,11.2418
