interval,flow_id,source_terminal,destination_terminal,offered_gbit
0,50500,8,0,100.000000
1,50500,8,0,100.000000
2,50500,8,0,100.000000
3,50500,8,0,100.000000
4,50500,8,0,100.000000
5,50500,8,0,100.000000
6,50500,8,0,100.000000
7,50500,8,0,100.000000
8,50500,8,0,100.000000
9,50500,8,0,100.000000
10,50500,8,0,100.000000
11,50500,8,0,100.000000
12,50500,8,0,100.000000
13,50500,8,0,100.000000
14,50500,8,0,100.000000
15,50500,8,0,100.000000
16,50500,8,0,100.000000
17,50500,8,0,100.000000
18,50500,8,0,100.000000
19,50500,8,0,100.000000
0,50501,110,0,100.000000
1,50501,110,0,100.000000
2,50501,110,0,100.000000
3,50501,110,0,100.000000
4,50501,110,0,100.000000
5,50501,110,0,100.000000
6,50501,110,0,100.000000
7,50501,110,0,100.000000
8,50501,110,0,100.000000
9,50501,110,0,100.000000
10,50501,110,0,100.000000
11,50501,110,0,100.000000
12,50501,110,0,100.000000
13,50501,110,0,100.000000
14,50501,110,0,100.000000
15,50501,110,0,100.000000
16,50501,110,0,100.000000
17,50501,110,0,100.000000
18,50501,110,0,100.000000
19,50501,110,0,100.000000
0,50502,115,0,100.000000
1,50502,115,0,100.000000
2,50502,115,0,100.000000
3,50502,115,0,100.000000
4,50502,115,0,100.000000
5,50502,115,0,100.000000
6,50502,115,0,100.000000
7,50502,115,0,100.000000
8,50502,115,0,100.000000
9,50502,115,0,100.000000
10,50502,115,0,100.000000
11,50502,115,0,100.000000
12,50502,115,0,100.000000
13,50502,115,0,100.000000
14,50502,115,0,100.000000
15,50502,115,0,100.000000
16,50502,115,0,100.000000
17,50502,115,0,100.000000
18,50502,115,0,100.000000
19,50502,115,0,100.000000
0,50503,34,0,100.000000
1,50503,34,0,100.000000
2,50503,34,0,100.000000
3,50503,34,0,100.000000
4,50503,34,0,100.000000
5,50503,34,0,100.000000
6,50503,34,0,100.000000
7,50503,34,0,100.000000
8,50503,34,0,100.000000
9,50503,34,0,100.000000
10,50503,34,0,100.000000
11,50503,34,0,100.000000
12,50503,34,0,100.000000
13,50503,34,0,100.000000
14,50503,34,0,100.000000
15,50503,34,0,100.000000
16,50503,34,0,100.000000
17,50503,34,0,100.000000
18,50503,34,0,100.000000
19,50503,34,0,100.000000
