switches,load,metric,samples,mean_sec,p50_sec,p95_sec,p99_sec,max_sec
64,high,processing,24494,3.648408920551972e-05,3.5048e-05,4.1008e-05,5.032272999999993e-05,0.008785963
64,high,total,24494,0.0005218825244141422,0.0005159025,0.0005512647499999999,0.00057647184,0.009356827
64,high,client_transport,24494,0.0004853984352086225,0.0004803325,0.0005130575499999999,0.00053434153,0.000907162
64,medium,processing,19570,3.849308196218702e-05,3.5763e-05,4.077e-05,4.8637e-05,0.034833431
64,medium,total,19570,0.000527681387480838,0.0005234275000000001,0.0005521617,0.0005791995700000002,0.035575373
64,medium,client_transport,19570,0.000489188305518651,0.000487488,0.00051457695,0.0005392554100000001,0.00193787
32,high,processing,12291,3.555708754373119e-05,3.5048e-05,4.0293e-05,5.1022e-05,9.0599e-05
32,high,total,12291,0.0005205919723374827,0.000514699,0.0005497925,0.0005833124000000002,0.003116369
32,high,client_transport,12291,0.0004850348847937515,0.000479396,0.0005125695,0.000538471,0.003080606
32,medium,processing,8747,3.9855783811592546e-05,3.5524e-05,4.0531e-05,4.9829e-05,0.034828663
32,medium,total,8747,0.0005251159841088373,0.000515945,0.0005468959,0.0005839041199999998,0.035688726
32,medium,client_transport,8747,0.00048526020029724477,0.000480125,0.0005101462999999999,0.0005425218599999992,0.003411957
128,high,processing,49522,3.743299909131295e-05,3.5286e-05,4.3869e-05,5.1022e-05,0.034617662
128,high,total,49522,0.0005239978468963289,0.0005151295,0.0005646056,0.00058333923,0.035331398
128,high,client_transport,49522,0.00048656484780501595,0.000479576,0.0005217919,0.00053846285,0.00453716
