switches,terminals,load,mode,repeat,runtime_sec,net_events,generated_gbit,simulated_gbit_per_wall_sec,zmq_requests,zmq_processing_mean_sec,zmq_total_mean_sec,zmq_client_transport_mean_sec,zmq_accumulated_total_sec,zmq_batch_requests,zmq_query_rows,zmq_cache_hits,zmq_mean_batch_size
32,64,high,pdes,1,1.1405,181945,1561162.6425239996,1368840.5458342826,0,0.0,0.0,0.0,0.0,0,0,0,0.0
32,64,high,pdes,2,1.1237,181945,1561162.6425239996,1389305.5464305417,0,0.0,0.0,0.0,0.0,0,0,0,0.0
32,64,high,pdes,3,1.1271,181945,1561162.6425239996,1385114.5794729835,0,0.0,0.0,0.0,0.0,0,0,0,0.0
32,64,high,pdes,4,1.125,181945,1561162.6425239996,1387700.1266879996,0,0.0,0.0,0.0,0.0,0,0,0,0.0
32,64,high,pdes,5,1.1382,181945,1561162.6425239996,1371606.609140748,0,0.0,0.0,0.0,0.0,0,0,0,0.0
32,64,high,statistical,1,7.7044,181945,1561162.6425239996,202632.60507294527,12291,2.8442e-05,0.000510031,0.000481589,6.268791021,0,0,0,0.0
32,64,high,statistical,2,7.7863,181945,1561162.6425239996,200501.2191315515,12291,2.9367e-05,0.000517094,0.000487727,6.355602353999999,0,0,0,0.0
32,64,high,statistical,3,7.7312,181945,1561162.6425239996,201930.18451521103,12291,2.8706e-05,0.00051316,0.00048445400000000005,6.307249560000001,0,0,0,0.0
32,64,high,statistical,4,7.7763,181945,1561162.6425239996,200759.0554021835,12291,2.9308e-05,0.000516604,0.000487296,6.3495797640000005,0,0,0,0.0
32,64,high,statistical,5,7.6623,181945,1561162.6425239996,203745.95650444378,12291,2.8012e-05,0.000507624,0.00047961200000000003,6.239206584000001,0,0,0,0.0
32,64,medium,pdes,1,0.3913,74450,284116.2642489998,726082.9651137231,0,0.0,0.0,0.0,0.0,0,0,0,0.0
32,64,medium,pdes,2,0.3894,74450,284116.2642489998,729625.7428068819,0,0.0,0.0,0.0,0.0,0,0,0,0.0
32,64,medium,pdes,3,0.3866,74450,284116.2642489998,734910.1506699426,0,0.0,0.0,0.0,0.0,0,0,0,0.0
32,64,medium,pdes,4,0.3929,74450,284116.2642489998,723126.1497811143,0,0.0,0.0,0.0,0.0,0,0,0,0.0
32,64,medium,pdes,5,0.3879,74450,284116.2642489998,732447.1880613555,0,0.0,0.0,0.0,0.0,0,0,0,0.0
32,64,medium,statistical,1,5.0318,74450,284116.2642489998,56464.14091358954,8747,2.8155e-05,0.000509186,0.00048103100000000004,4.453849942,0,0,0,0.0
32,64,medium,statistical,2,5.0116,74450,284116.2642489998,56691.72804074544,8747,2.8145e-05,0.000506637,0.000478492,4.431553839,0,0,0,0.0
32,64,medium,statistical,3,5.0481,74450,284116.2642489998,56281.82172480732,8747,2.8242e-05,0.000510442,0.00048219999999999996,4.464836173999999,0,0,0,0.0
