switches,terminals,load,mode,n,runtime_sec_mean,runtime_sec_std,simulated_gbit_per_wall_sec_mean,simulated_gbit_per_wall_sec_std,zmq_requests_mean,zmq_requests_std,zmq_processing_mean_sec_mean,zmq_processing_mean_sec_std,zmq_total_mean_sec_mean,zmq_total_mean_sec_std,zmq_client_transport_mean_sec_mean,zmq_client_transport_mean_sec_std,zmq_accumulated_total_sec_mean,zmq_accumulated_total_sec_std,zmq_batch_requests_mean,zmq_batch_requests_std,zmq_query_rows_mean,zmq_query_rows_std,zmq_cache_hits_mean,zmq_cache_hits_std,zmq_mean_batch_size_mean,zmq_mean_batch_size_std
32,64,high,pdes,5,1.1309,0.007850796137972314,1380513.4815133112,9561.7490507495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,64,high,statistical,5,7.7321,0.05131135351946969,201913.80412526702,1341.879878939821,12291.0,0.0,2.8767e-05,5.77072785703849e-07,0.0005129026,4.106219526523141e-06,0.0004841356,3.5332629820040203e-06,6.3040858566,0.050469544200495736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,64,medium,pdes,5,0.38962,0.00253515285535212,729238.4392866035,4741.610564639923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,64,medium,statistical,5,5.035299999999999,0.014690473103341617,56425.27821972996,165.00274868199762,8747.0,0.0,2.8223e-05,7.026023057178204e-08,0.0005093522,1.6213976070045123e-06,0.0004811292,1.5646250988655237e-06,4.455303693399999,0.014182364868468305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,128,high,pdes,5,2.7661599999999997,0.023095410799550693,1146998.0999979463,9632.072467697817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,128,high,statistical,5,15.99778,0.07510743638282409,198318.6561698384,930.8206292270244,24494.0,0.0,2.9173e-05,5.24214173787775e-07,0.0005168856,2.9644971411691553e-06,0.0004877126,2.452339964197446e-06,12.6605958864,0.07261239297579744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,128,medium,pdes,5,1.1205,0.00391343838586994,511616.08598454663,1786.8309427737172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,128,medium,statistical,5,11.6284,0.11053752756417153,49301.859624411794,469.468466529435,19570.0,0.0,2.88192e-05,1.0014750121695502e-06,0.0005147186,5.7436397258184544e-06,0.0004858994,4.775093433640846e-06,10.073043002,0.11240302943426694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,256,high,pdes,5,7.8423,0.07999321846256746,811765.3709066373,8177.180140069596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,256,high,statistical,5,34.5019,0.18523892679455858,184503.77854051095,989.5460907629067,49522.0,0.0,2.89706e-05,4.301944908991742e-07,0.0005155,3.5952908088220186e-06,0.0004865294,3.1717043210236512e-06,25.528591000000002,0.17804599143448316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
