interval,event,switch,switch_name,port,target_type,target_index,capacity_gbit,queued_before_gbit,sent_gbit,queued_after_gbit,shared_queued_before_gbit,shared_queued_after_gbit,shared_buffer_gbit,dropped_gbit,active_queue_entries
1,egress,0,S00,2,switch,3,100.637,0,100.637,100,0,100,100,1799.36,1
1,egress,1,S01,0,switch,0,159.728,0,159.728,100,0,100,100,740.272,1
1,egress,1,S01,1,switch,7,265.041,0,265.041,0,100,100,100,734.959,0
1,egress,10,S17,0,switch,13,277.107,0,277.107,100,0,100,100,1622.89,1
1,egress,11,S21,1,switch,20,122.733,0,122.733,0,100,100,100,877.267,0
1,egress,11,S21,2,switch,8,146.462,0,146.462,100,0,100,100,753.538,1
1,egress,12,S04,0,switch,9,186.587,0,186.587,100,0,100,100,1713.41,1
1,egress,13,S16,2,switch,25,119.9,0,119.9,100,0,100,100,780.1,1
1,egress,13,S16,4,switch,26,131.677,0,131.677,0,100,100,100,868.323,0
1,egress,14,S19,1,switch,27,204.72,0,204.72,0,100,100,100,795.28,0
1,egress,14,S19,2,switch,8,146.524,0,146.524,100,0,100,100,753.476,1
1,egress,15,S30,0,switch,9,153.026,0,153.026,100,0,100,100,1746.97,1
1,egress,16,S06,0,switch,1,202.575,0,202.575,0,100,100,100,797.425,0
1,egress,16,S06,1,switch,12,131.235,0,131.235,100,0,100,100,768.765,1
1,egress,17,S07,0,switch,16,118.259,0,118.259,0,100,100,100,881.741,0
1,egress,17,S07,1,switch,18,291.613,0,291.613,100,0,100,100,608.387,1
1,egress,18,S08,0,switch,17,182.424,0,182.424,100,0,100,100,1717.58,1
1,egress,19,S10,0,switch,3,137.994,0,137.994,100,0,100,100,762.006,1
1,egress,19,S10,2,switch,21,251.806,0,251.806,0,100,100,100,748.194,0
1,egress,2,S05,0,switch,7,200.84,0,200.84,100,0,100,100,1699.16,1
1,egress,20,S14,3,switch,11,184.858,0,184.858,100,0,100,100,715.142,1
1,egress,20,S14,4,switch,6,174.024,0,174.024,0,100,100,100,825.976,0
1,egress,21,S13,0,switch,19,234.552,0,234.552,0,100,100,100,765.448,0
1,egress,21,S13,1,switch,23,248.906,0,248.906,100,0,100,100,651.094,1
1,egress,22,S29,0,switch,19,232.511,0,232.511,100,0,100,100,667.489,1
1,egress,22,S29,1,switch,23,225.629,0,225.629,0,100,100,100,774.371,0
1,egress,23,S12,0,switch,12,256.86,0,256.86,100,0,100,100,643.14,1
1,egress,23,S12,3,switch,24,198.106,0,198.106,0,100,100,100,801.894,0
1,egress,24,S25,0,switch,23,141.711,0,141.711,100,0,100,100,1758.29,1
1,egress,25,S15,0,switch,16,196.927,0,196.927,0,100,100,100,803.073,0
1,egress,25,S15,1,switch,20,254.167,0,254.167,100,0,100,100,645.833,1
1,egress,26,S22,0,switch,11,143.276,0,143.276,100,0,100,100,756.724,1
1,egress,26,S22,3,terminal,53,1000,0,1000,0,0,0,100,0,0
1,egress,27,S18,1,switch,14,215.617,0,215.617,100,0,100,100,1684.38,1
1,egress,28,S23,0,switch,25,179.939,0,179.939,100,0,100,100,1720.06,1
1,egress,29,S24,0,switch,13,214.063,0,214.063,100,0,100,100,1685.94,1
1,egress,3,S09,0,switch,0,136.971,0,136.971,100,0,100,100,1763.03,1
1,egress,30,S27,0,switch,5,266.441,0,266.441,0,100,100,100,733.559,0
1,egress,30,S27,1,switch,31,296.659,0,296.659,100,0,100,100,603.341,1
1,egress,31,S28,0,switch,30,145.823,0,145.823,100,0,100,100,1754.18,1
1,egress,4,S11,2,switch,19,104.704,0,104.704,0,100,100,100,895.296,0
1,egress,4,S11,3,switch,23,168.312,0,168.312,100,0,100,100,731.688,1
1,egress,5,S26,1,switch,7,263.511,0,263.511,0,100,100,100,736.489,0
1,egress,5,S26,4,switch,24,132.828,0,132.828,100,0,100,100,767.172,1
1,egress,6,S31,1,switch,17,134.823,0,134.823,0,100,100,100,865.177,0
1,egress,6,S31,2,switch,22,280.605,0,280.605,100,0,100,100,619.395,1
1,egress,7,S02,0,switch,1,138.732,0,138.732,100,0,100,100,1761.27,1
1,egress,8,S20,0,switch,1,162.644,0,162.644,100,0,100,100,1737.36,1
1,egress,9,S03,0,switch,7,132.338,0,132.338,100,0,100,100,1767.66,1
10,egress,0,S00,0,switch,1,183.324,0,139.142,0,100,100,100,0,0
10,egress,0,S00,1,switch,2,106.121,0,91.568,0,100,100,100,0,0
10,egress,0,S00,2,switch,3,100.637,0,96.532,0,100,100,100,0,0
10,egress,0,S00,3,switch,4,235.741,0,135.741,100,0,100,100,10.4169,2
10,egress,0,S00,3,switch,4,235.741,100,100,0,100,0,100,0,0
10,egress,0,S00,4,switch,5,206.324,0,173.869,0,100,100,100,0,0
10,egress,0,S00,5,switch,6,102.034,0,102.034,0,100,100,100,166.126,0
10,egress,0,S00,6,terminal,0,1000,0,64.2759,0,100,100,100,0,0
10,egress,0,S00,7,terminal,1,1000,0,80.9229,0,100,100,100,0,0
10,egress,1,S01,0,switch,0,159.728,0,159.728,49.1259,50.8741,100,100,40.7188,4
10,egress,1,S01,1,switch,7,265.041,0,165.041,50.8741,0,50.8741,100,0,1
10,egress,1,S01,1,switch,7,265.041,100,100,0,100,0,100,0,0
10,egress,1,S01,2,switch,4,135.57,0,90.38,0,100,100,100,0,0
10,egress,10,S17,0,switch,13,277.107,0,243.499,0,0,0,100,0,0
10,egress,10,S17,1,switch,27,182.906,0,14.0372,0,0,0,100,0,0
10,egress,10,S17,1,switch,27,182.906,100,100,0,100,0,100,0,0
10,egress,10,S17,3,terminal,21,1000,0,127.478,0,0,0,100,0,0
10,egress,11,S21,0,switch,19,176.64,0,58.3339,0,45.9741,45.9741,100,0,0
10,egress,11,S21,0,switch,19,176.64,100,100,0,100,0,100,0,0
10,egress,11,S21,1,switch,20,122.733,0,102.759,0,45.9741,45.9741,100,0,0
10,egress,11,S21,2,switch,8,146.462,0,146.462,45.9741,0,45.9741,100,0,3
10,egress,11,S21,3,switch,26,261.425,0,76.6684,0,0,0,100,0,0
10,egress,11,S21,4,terminal,22,1000,0,162.032,0,45.9741,45.9741,100,0,0
10,egress,11,S21,5,terminal,23,1000,0,146.524,0,0,0,100,0,0
10,egress,12,S04,0,switch,9,186.587,0,109.482,94.1275,0,94.1275,100,0,6
10,egress,12,S04,0,switch,9,186.587,77.1055,77.1055,0,77.1055,0,100,0,0
10,egress,12,S04,1,switch,2,124.853,0,124.853,0,94.1275,94.1275,100,0,0
10,egress,12,S04,3,terminal,25,1000,0,114.339,0,94.1275,94.1275,100,0,0
10,egress,13,S16,0,switch,9,259.846,0,0,0,100,100,100,98.8243,0
10,egress,13,S16,1,switch,16,258.091,0,250.695,0,100,100,100,0,0
10,egress,13,S16,2,switch,25,119.9,0,19.9,83.2236,0,83.2236,100,0,4
10,egress,13,S16,2,switch,25,119.9,100,100,0,100,0,100,0,0
10,egress,13,S16,3,switch,10,135.775,0,135.775,16.7764,83.2236,100,100,26.8958,1
10,egress,13,S16,4,switch,26,131.677,0,104.693,0,100,100,100,0,0
10,egress,13,S16,5,terminal,26,1000,0,137.077,0,0,0,100,0,0
10,egress,13,S16,6,terminal,27,1000,0,294.937,0,100,100,100,0,0
10,egress,14,S19,0,switch,18,175.944,0,175.944,6.12993,93.0201,99.15,100,0,1
10,egress,14,S19,1,switch,27,204.72,0,104.72,0.850013,99.15,100,100,179.055,1
10,egress,14,S19,1,switch,27,204.72,100,100,0,100,0,100,0,0
10,egress,14,S19,2,switch,8,146.524,0,146.524,0,100,100,100,0,0
10,egress,14,S19,3,switch,24,247.444,0,247.444,93.0201,0,93.0201,100,0,2
10,egress,14,S19,4,terminal,28,1000,0,5.06547,0,100,100,100,0,0
10,egress,14,S19,5,terminal,29,1000,0,57.8877,0,99.15,99.15,100,0,0
10,egress,15,S30,0,switch,9,153.026,0,143.292,9.56824,90.4318,100,100,10.7252,2
10,egress,15,S30,0,switch,9,153.026,9.73386,9.73386,0,100,90.2661,100,0,0
10,egress,15,S30,1,switch,17,198.358,0,198.358,0,100,100,100,51.4847,0
10,egress,15,S30,2,switch,4,280.017,0,25.3509,0,90.4318,90.4318,100,0,0
10,egress,15,S30,3,switch,22,109.864,0,19.5979,90.4318,0,90.4318,100,0,2
10,egress,15,S30,3,switch,22,109.864,90.2661,90.2661,0,90.2661,0,100,0,0
10,egress,15,S30,6,terminal,31,1000,0,167.438,0,0,0,100,0,0
10,egress,16,S06,0,switch,1,202.575,0,153.227,0,0,0,100,0,0
10,egress,16,S06,1,switch,12,131.235,0,19.4003,0,0,0,100,0,0
10,egress,16,S06,2,switch,2,170.98,0,110.239,0,0,0,100,0,0
10,egress,16,S06,3,switch,17,210.644,0,181.568,0,0,0,100,0,0
10,egress,16,S06,4,switch,13,201.033,0,47.7859,0,0,0,100,0,0
10,egress,16,S06,4,switch,13,201.033,100,100,0,100,0,100,0,0
10,egress,16,S06,5,terminal,32,1000,0,131.421,0,0,0,100,0,0
10,egress,16,S06,6,terminal,33,1000,0,18.4221,0,0,0,100,0,0
10,egress,17,S07,0,switch,16,118.259,0,18.259,100,0,100,100,15.1146,8
10,egress,17,S07,0,switch,16,118.259,100,100,0,100,0,100,0,0
10,egress,17,S07,1,switch,18,291.613,0,182.448,0,100,100,100,0,0
10,egress,17,S07,3,switch,19,143.593,0,110.053,0,100,100,100,0,0
10,egress,17,S07,4,switch,15,224.37,0,41.9473,0,100,100,100,0,0
