interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,generate_flow,0,S00.0,0,40,457.991
0,generate_flow,1,S00.1,0,43,340.112
0,generate_flow,10,S26.0,5,49,557.577
0,generate_flow,11,S26.1,5,15,361.273
0,generate_flow,12,S31.0,6,45,425.836
0,generate_flow,13,S31.1,6,37,414.46
0,generate_flow,14,S02.0,7,9,522.484
0,generate_flow,15,S02.1,7,16,350.625
0,generate_flow,16,S20.0,8,19,371.196
0,generate_flow,17,S20.1,8,18,384.148
0,generate_flow,18,S03.0,9,22,478.662
0,generate_flow,19,S03.1,9,41,582.276
0,generate_flow,2,S01.0,1,52,394.897
0,generate_flow,20,S17.0,10,41,459.518
0,generate_flow,21,S17.1,10,2,313.602
0,generate_flow,22,S21.0,11,54,492.152
0,generate_flow,23,S21.1,11,37,581.342
0,generate_flow,24,S04.0,12,9,513.63
0,generate_flow,25,S04.1,12,60,445.063
0,generate_flow,26,S16.0,13,56,499.742
0,generate_flow,27,S16.1,13,60,337.776
0,generate_flow,28,S19.0,14,54,522.033
0,generate_flow,29,S19.1,14,23,557.886
0,generate_flow,3,S01.1,1,6,397.992
0,generate_flow,30,S30.0,15,4,463.881
0,generate_flow,31,S30.1,15,58,431.4
0,generate_flow,32,S06.0,16,0,318.257
0,generate_flow,33,S06.1,16,18,500.153
0,generate_flow,34,S07.0,17,37,321.515
0,generate_flow,35,S07.1,17,21,585.052
0,generate_flow,36,S08.0,18,15,584.858
0,generate_flow,37,S08.1,18,5,494.829
0,generate_flow,38,S10.0,19,22,483.073
0,generate_flow,39,S10.1,19,32,450.419
0,generate_flow,4,S05.0,2,15,464.502
0,generate_flow,40,S14.0,20,23,325.31
0,generate_flow,41,S14.1,20,1,518.354
0,generate_flow,42,S13.0,21,48,586.267
0,generate_flow,43,S13.1,21,34,500.668
0,generate_flow,44,S29.0,22,7,580.818
0,generate_flow,45,S29.1,22,55,590.696
0,generate_flow,46,S12.0,23,55,454.551
0,generate_flow,47,S12.1,23,4,422.062
0,generate_flow,48,S25.0,24,43,506.858
0,generate_flow,49,S25.1,24,9,335.994
0,generate_flow,5,S05.1,2,41,324.776
0,generate_flow,50,S15.0,25,8,401.927
0,generate_flow,51,S15.1,25,41,401.369
0,generate_flow,52,S22.0,26,53,585.675
0,generate_flow,53,S22.1,26,42,520.505
0,generate_flow,54,S18.0,27,40,434.45
0,generate_flow,55,S18.1,27,49,321.043
0,generate_flow,56,S23.0,28,0,317.688
0,generate_flow,57,S23.1,28,63,461.308
0,generate_flow,58,S24.0,29,41,445.225
0,generate_flow,59,S24.1,29,35,404.563
0,generate_flow,6,S09.0,3,20,390.476
0,generate_flow,60,S27.0,30,35,332.73
0,generate_flow,61,S27.1,30,62,459.757
0,generate_flow,62,S28.0,31,49,583.071
0,generate_flow,63,S28.1,31,52,417.815
0,generate_flow,7,S09.1,3,59,321.399
0,generate_flow,8,S11.0,4,40,475.933
0,generate_flow,9,S11.1,4,25,399.643
0,send,0,S00.0,0,40,457.991
0,send,1,S00.1,0,43,340.112
0,send,10,S26.0,5,49,557.577
0,send,11,S26.1,5,15,361.273
0,send,12,S31.0,6,45,425.836
0,send,13,S31.1,6,37,414.46
0,send,14,S02.0,7,9,522.484
0,send,15,S02.1,7,16,350.625
0,send,16,S20.0,8,19,371.196
0,send,17,S20.1,8,18,384.148
0,send,18,S03.0,9,22,478.662
0,send,19,S03.1,9,41,582.276
0,send,2,S01.0,1,52,394.897
0,send,20,S17.0,10,41,459.518
0,send,21,S17.1,10,2,313.602
0,send,22,S21.0,11,54,492.152
0,send,23,S21.1,11,37,581.342
0,send,24,S04.0,12,9,513.63
0,send,25,S04.1,12,60,445.063
0,send,26,S16.0,13,56,499.742
0,send,27,S16.1,13,60,337.776
0,send,28,S19.0,14,54,522.033
0,send,29,S19.1,14,23,557.886
0,send,3,S01.1,1,6,397.992
0,send,30,S30.0,15,4,463.881
0,send,31,S30.1,15,58,431.4
0,send,32,S06.0,16,0,318.257
0,send,33,S06.1,16,18,500.153
0,send,34,S07.0,17,37,321.515
0,send,35,S07.1,17,21,585.052
0,send,36,S08.0,18,15,584.858
0,send,37,S08.1,18,5,494.829
0,send,38,S10.0,19,22,483.073
0,send,39,S10.1,19,32,450.419
0,send,4,S05.0,2,15,464.502
0,send,40,S14.0,20,23,325.31
0,send,41,S14.1,20,1,518.354
0,send,42,S13.0,21,48,586.267
0,send,43,S13.1,21,34,500.668
0,send,44,S29.0,22,7,580.818
0,send,45,S29.1,22,55,590.696
0,send,46,S12.0,23,55,454.551
