interval,event,switch,switch_name,port,target_type,target_index,capacity_gbit,queued_before_gbit,sent_gbit,queued_after_gbit,shared_queued_before_gbit,shared_queued_after_gbit,shared_buffer_gbit,dropped_gbit,active_queue_entries
1,egress,0,S00,0,switch,1,183.324,0,183.324,100,0,100,100,34.9326,1
1,egress,0,S00,2,switch,3,149.8,0,149.8,0,100,100,100,350.353,0
1,egress,1,S01,0,switch,0,159.728,0,159.728,100,0,100,100,61.7871,1
1,egress,1,S01,1,switch,6,265.041,0,265.041,0,100,100,100,320.011,0
1,egress,10,S61,0,switch,1,227.172,0,227.172,100,0,100,100,193.333,1
1,egress,10,S61,7,terminal,21,1000,0,585.675,0,100,100,100,0,0
1,egress,11,S03,0,switch,6,132.338,0,132.338,100,0,100,100,523.156,1
1,egress,12,S04,2,switch,15,124.853,0,124.853,100,0,100,100,92.8348,1
1,egress,12,S04,5,switch,18,178.427,0,178.427,0,100,100,100,282.881,0
1,egress,13,S40,0,switch,6,162.644,0,162.644,100,0,100,100,182.581,1
1,egress,13,S40,1,switch,52,151.023,0,151.023,0,100,100,100,253.54,0
1,egress,14,S58,0,switch,11,169.38,0,169.38,100,0,100,100,190.377,1
1,egress,14,S58,2,switch,34,224.263,0,224.263,0,100,100,100,108.467,0
1,egress,15,S05,0,switch,12,134.869,0,134.869,100,0,100,100,766.017,1
1,egress,16,S11,0,switch,12,200.84,0,200.84,100,0,100,100,664.075,1
1,egress,17,S35,0,switch,33,196.155,0,196.155,100,0,100,100,288.454,1
1,egress,17,S35,1,switch,56,252.252,0,252.252,0,100,100,100,169.328,0
1,egress,18,S43,0,switch,38,157.659,0,157.659,100,0,100,100,81.265,1
1,egress,18,S43,1,switch,60,132.709,0,132.709,0,100,100,100,340.642,0
1,egress,19,S06,1,switch,22,210.644,0,210.644,0,100,100,100,251.935,0
1,egress,19,S06,3,switch,10,169.014,0,169.014,100,0,100,100,82.3753,1
1,egress,2,S10,0,switch,27,137.994,0,137.994,100,0,100,100,841.693,1
1,egress,20,S15,3,switch,25,274.153,0,274.153,100,0,100,100,415.849,1
1,egress,21,S53,0,switch,15,263.511,0,263.511,100,0,100,100,112.311,1
1,egress,21,S53,1,switch,40,137.143,0,137.143,0,100,100,100,375.689,0
1,egress,22,S07,0,switch,19,118.259,0,118.259,100,0,100,100,143.442,1
1,egress,22,S07,3,switch,26,124.406,0,124.406,0,100,100,100,177.713,0
1,egress,23,S39,2,switch,50,253.771,0,253.771,0,100,100,100,210.98,0
1,egress,23,S39,3,switch,13,140.319,0,140.319,100,0,100,100,193.631,1
1,egress,24,S08,0,switch,22,182.424,0,182.424,0,100,100,100,354.284,0
1,egress,24,S08,1,switch,27,295.728,0,295.728,100,0,100,100,153.878,1
1,egress,25,S16,1,switch,20,119.9,0,119.9,100,0,100,100,789.737,1
1,egress,26,S33,0,switch,3,174.708,0,174.708,0,100,100,100,424.214,0
1,egress,26,S33,2,switch,33,257.766,0,257.766,100,0,100,100,199.871,1
1,egress,27,S09,0,switch,24,129.629,0,129.629,100,0,100,100,764.648,1
1,egress,28,S12,0,switch,16,293.496,0,293.496,100,0,100,100,21.8439,1
1,egress,28,S12,2,switch,20,296.117,0,296.117,0,100,100,100,50.1873,0
1,egress,29,S13,2,switch,28,248.906,0,248.906,0,100,100,100,204.177,0
1,egress,29,S13,5,switch,31,131.191,0,131.191,100,0,100,100,254.744,1
1,egress,3,S27,2,switch,49,266.441,0,266.441,100,0,100,100,116.632,1
1,egress,3,S27,4,switch,26,158.334,0,158.334,0,100,100,100,292.085,0
1,egress,30,S14,0,switch,29,288.048,0,288.048,65.8108,0,65.8108,100,0,1
1,egress,30,S14,1,switch,20,100.691,0,100.691,34.1892,65.8108,100,100,384.303,1
1,egress,31,S62,0,switch,29,171.288,0,171.288,0,100,100,100,300.587,0
1,egress,31,S62,2,switch,10,234.199,0,234.199,100,0,100,100,175.457,1
1,egress,32,S21,1,switch,43,261.425,0,261.425,100,0,100,100,520.047,1
1,egress,33,S34,0,switch,26,235.741,0,235.741,100,0,100,100,467.46,1
1,egress,34,S57,0,switch,20,180.835,0,180.835,0,100,100,100,385.618,0
1,egress,34,S57,2,switch,14,113.541,0,113.541,100,0,100,100,99.0836,1
1,egress,35,S17,0,switch,25,277.107,0,277.107,100,0,100,100,39.8291,1
1,egress,35,S17,2,switch,37,246.878,0,246.878,0,100,100,100,95.0687,0
1,egress,36,S18,1,switch,39,215.617,0,215.617,100,0,100,100,267.2,1
1,egress,36,S18,2,switch,40,242.342,0,242.342,0,100,100,100,330.443,0
1,egress,37,S32,0,switch,0,103.31,0,103.31,100,0,100,100,818.39,1
1,egress,38,S42,0,switch,42,176.64,0,176.64,0,100,100,100,422.047,0
1,egress,38,S42,1,switch,40,122.733,0,122.733,100,0,100,100,236.374,1
1,egress,39,S19,0,switch,36,204.72,0,204.72,100,0,100,100,492.858,1
1,egress,4,S37,0,switch,0,203.508,0,203.508,0,100,100,100,314.846,0
1,egress,4,S37,3,switch,50,165.152,0,165.152,100,0,100,100,60.1578,1
1,egress,40,S29,0,switch,36,264.754,0,264.754,0,100,100,100,226.724,0
1,egress,40,S29,1,switch,45,131.396,0,131.396,100,0,100,100,86.5312,1
1,egress,41,S49,0,switch,11,188.868,0,188.868,100,0,100,100,100.55,1
1,egress,41,S49,5,switch,48,181.228,0,181.228,0,100,100,100,147.85,0
1,egress,42,S20,2,switch,3,251.806,0,251.806,100,0,100,100,223.909,1
1,egress,42,S20,3,switch,14,182.917,0,182.917,0,100,100,100,267.319,0
1,egress,43,S22,0,switch,0,203.304,0,203.304,0,100,100,100,167.038,0
1,egress,43,S22,3,switch,44,274.638,0,274.638,100,0,100,100,9.89515,1
1,egress,44,S23,0,switch,43,211.017,0,211.017,100,0,100,100,406.945,1
1,egress,45,S28,0,switch,15,170.054,0,170.054,0,100,100,100,206.03,0
1,egress,45,S28,3,switch,3,145.823,0,145.823,100,0,100,100,263.654,1
1,egress,46,S24,1,switch,44,217.722,0,217.722,0,100,100,100,354.922,0
1,egress,46,S24,3,switch,48,198.106,0,198.106,100,0,100,100,127.723,1
1,egress,47,S25,0,switch,46,291.732,0,291.732,100,0,100,100,696.486,1
1,egress,48,S50,1,switch,41,183.344,0,183.344,0,100,100,100,204.023,0
1,egress,48,S50,2,switch,58,290.959,0,290.959,100,0,100,100,192.415,1
1,egress,49,S26,0,switch,43,126.404,0,126.404,100,0,100,100,574.156,1
1,egress,5,S63,0,switch,0,259.679,0,259.679,0,100,100,100,240.989,0
1,egress,5,S63,2,switch,31,151.987,0,151.987,100,0,100,100,334.28,1
1,egress,50,S38,0,switch,25,175.944,0,175.944,100,0,100,100,426.113,1
1,egress,51,S48,0,switch,57,201.033,0,201.033,100,0,100,100,639.071,1
1,egress,52,S30,0,switch,28,196.927,0,196.927,100,0,100,100,50.2916,1
1,egress,52,S30,1,switch,40,109.864,0,109.864,0,100,100,100,362.949,0
1,egress,53,S55,0,switch,15,170.836,0,170.836,29.214,70.786,100,100,166.897,1
1,egress,53,S55,1,switch,40,298.054,0,298.054,70.786,0,70.786,100,0,1
1,egress,54,S31,1,switch,37,242.335,0,242.335,100,0,100,100,312.865,1
1,egress,55,S60,2,switch,9,166.058,0,166.058,46.5817,53.4183,100,100,88.9957,1
1,egress,55,S60,3,switch,10,278.792,0,278.792,53.4183,0,53.4183,100,0,1
1,egress,56,S36,3,switch,23,284.309,0,284.309,100,0,100,100,648.584,1
1,egress,57,S47,2,switch,61,259.693,0,259.693,100,0,100,100,460.347,1
1,egress,58,S51,1,switch,23,189.834,0,189.834,100,0,100,100,230.904,1
1,egress,58,S51,2,switch,48,275.695,0,275.695,0,100,100,100,316.224,0
1,egress,59,S41,0,switch,13,132.99,0,132.99,100,0,100,100,85.2336,1
1,egress,59,S41,1,switch,38,116.009,0,116.009,0,100,100,100,205.057,0
1,egress,6,S02,0,switch,1,138.732,0,138.732,0,100,100,100,442.086,0
1,egress,6,S02,2,switch,12,128.791,0,128.791,100,0,100,100,361.905,1
1,egress,60,S44,0,switch,18,203.923,0,203.923,0,100,100,100,187.014,0
1,egress,60,S44,1,switch,7,207.424,0,207.424,100,0,100,100,264.457,1
1,egress,61,S46,1,switch,57,199.213,0,199.213,100,0,100,100,626.999,1
1,egress,62,S56,1,switch,34,238.377,0,238.377,100,0,100,100,441.676,1
1,egress,63,S54,0,switch,15,172.792,0,172.792,0,100,100,100,361.73,0
1,egress,63,S54,1,switch,21,203.653,0,203.653,100,0,100,100,264.134,1
1,egress,7,S45,0,switch,27,292,0,292,100,0,100,100,484.613,1
1,egress,8,S52,0,switch,1,255.562,0,255.562,100,0,100,100,487.291,1
1,egress,9,S59,0,switch,1,295.318,0,295.318,100,0,100,100,6.60861,1
1,egress,9,S59,2,switch,21,160.744,0,160.744,0,100,100,100,240.625,0
10,egress,0,S00,0,switch,1,183.324,0,183.324,83.3967,0,83.3967,100,0,1
10,egress,0,S00,1,switch,2,106.121,0,10.4331,16.6033,83.3967,100,100,323.988,1
10,egress,0,S00,1,switch,2,106.121,95.6879,95.6879,0,95.6879,0,100,0,0
10,egress,0,S00,2,switch,3,149.8,0,149.8,0,100,100,100,214.577,0
10,egress,0,S00,3,switch,4,180.219,0,176.85,0,83.3967,83.3967,100,0,0
10,egress,0,S00,4,switch,5,102.034,0,20.8448,0,83.3967,83.3967,100,0,0
10,egress,0,S00,4,switch,5,102.034,4.31207,4.31207,0,100,95.6879,100,0,0
10,egress,0,S00,6,terminal,1,1000,0,51.6885,0,100,100,100,0,0
10,egress,1,S01,0,switch,0,159.728,0,154.425,48.3988,0,48.3988,100,0,2
10,egress,1,S01,0,switch,0,159.728,5.30258,5.30258,0,100,94.6974,100,0,0
10,egress,1,S01,1,switch,6,265.041,0,265.041,51.6012,48.3988,100,100,334.69,2
10,egress,1,S01,2,switch,7,132.025,0,132.025,0,100,100,100,35.7363,0
10,egress,1,S01,3,switch,8,206.324,0,11.8543,0,0,0,100,0,0
10,egress,1,S01,4,switch,9,251.018,94.6974,94.6974,0,94.6974,0,100,0,0
10,egress,1,S01,6,terminal,2,1000,0,11.8543,0,48.3988,48.3988,100,0,0
10,egress,1,S01,7,terminal,3,1000,0,91.7738,0,100,100,100,0,0
10,egress,10,S61,0,switch,1,227.172,0,85.02,0,0,0,100,0,0
10,egress,10,S61,2,switch,42,279.867,100,100,0,100,0,100,0,0
10,egress,10,S61,4,switch,55,207.652,0,118.54,0,0,0,100,0,0
10,egress,11,S03,0,switch,6,132.338,0,132.338,100,0,100,100,141.705,2
10,egress,11,S03,2,switch,14,127.424,0,27.424,0,100,100,100,345.788,0
10,egress,11,S03,2,switch,14,127.424,100,100,0,100,0,100,0,0
10,egress,11,S03,4,terminal,22,1000,0,28.1131,0,0,0,100,0,0
10,egress,11,S03,5,terminal,23,1000,0,147.812,0,0,0,100,0,0
10,egress,12,S04,0,switch,6,184.169,0,104.8,0,0,0,100,0,0
10,egress,12,S04,1,switch,11,186.587,0,86.587,81.1334,0,81.1334,100,0,3
10,egress,12,S04,1,switch,11,186.587,100,100,0,100,0,100,0,0
10,egress,12,S04,2,switch,15,124.853,0,63.1881,0,0,0,100,0,0
10,egress,13,S40,0,switch,6,162.644,0,162.644,20.2421,79.7579,100,100,0.784184,1
10,egress,13,S40,1,switch,52,151.023,0,131.034,0,100,100,100,0,0
10,egress,13,S40,2,switch,50,160.169,0,58.8755,0,100,100,100,0,0
10,egress,13,S40,2,switch,50,160.169,100,100,0,100,0,100,0,0
10,egress,13,S40,3,switch,23,211.313,0,41.6156,0,100,100,100,0,0
