interval,event,switch,switch_name,port,target_type,target_index,capacity_gbit,queued_before_gbit,sent_gbit,queued_after_gbit,shared_queued_before_gbit,shared_queued_after_gbit,shared_buffer_gbit,dropped_gbit,active_queue_entries
1,egress,88,S126,1,switch,63,282.791,0,282.791,100,0,100,100,1617.21,1
1,egress,120,S094,1,switch,24,204.798,0,204.798,100,0,100,100,695.202,1
1,egress,83,S044,1,switch,65,203.923,0,203.923,100,0,100,100,696.077,1
1,egress,4,S059,0,switch,30,264.754,0,264.754,100,0,100,100,635.246,1
1,egress,41,S015,0,switch,38,254.167,0,254.167,100,0,100,100,645.833,1
1,egress,72,S045,0,switch,1,203.304,0,203.304,100,0,100,100,696.696,1
1,egress,66,S054,0,switch,20,124.416,0,124.416,100,0,100,100,775.584,1
1,egress,124,S103,0,switch,123,260.128,0,260.128,100,0,100,100,639.872,1
1,egress,6,S086,1,switch,75,239.975,0,239.975,100,0,100,100,1660.03,1
1,egress,81,S100,1,switch,78,263.253,0,263.253,100,0,100,100,636.747,1
1,egress,113,S071,0,switch,71,196.081,0,196.081,100,0,100,100,703.919,1
1,egress,116,S078,1,switch,96,280.276,0,280.276,100,0,100,100,619.724,1
1,egress,59,S072,0,switch,45,231.665,0,231.665,100,0,100,100,668.335,1
1,egress,73,S034,2,switch,75,246.878,0,246.878,100,0,100,100,653.122,1
1,egress,60,S101,0,switch,81,103.408,0,103.408,100,0,100,100,1796.59,1
1,egress,87,S051,3,switch,96,105.625,0,105.625,100,0,100,100,794.375,1
1,egress,115,S074,0,switch,40,225.12,0,225.12,100,0,100,100,674.88,1
1,egress,109,S064,1,switch,8,136.98,0,136.98,100,0,100,100,1763.02,1
1,egress,66,S054,2,switch,69,203.653,0,203.653,0,100,100,100,796.347,0
1,egress,30,S036,0,switch,74,225.221,0,225.221,100,0,100,100,674.779,1
1,egress,49,S020,1,switch,51,241.877,0,241.877,100,0,100,100,1658.12,1
1,egress,80,S040,2,switch,17,119.666,0,119.666,100,0,100,100,780.334,1
1,egress,41,S015,2,switch,42,128.19,0,128.19,0,100,100,100,871.81,0
1,egress,29,S010,1,switch,32,243.793,0,243.793,100,0,100,100,656.207,1
1,egress,70,S092,0,switch,68,128.52,0,128.52,100,0,100,100,771.48,1
1,egress,25,S117,0,switch,15,169.38,0,169.38,100,0,100,100,730.62,1
1,egress,107,S062,0,switch,84,234.199,0,234.199,100,0,100,100,1665.8,1
1,egress,1,S001,1,switch,8,265.041,0,265.041,100,0,100,100,1634.96,1
1,egress,35,S080,0,switch,32,194.317,0,194.317,100,0,100,100,1705.68,1
1,egress,78,S099,3,switch,12,273.606,0,273.606,100,0,100,100,626.394,1
1,egress,80,S040,0,switch,54,211.313,0,211.313,0,100,100,100,788.687,0
1,egress,43,S066,2,switch,112,117.261,0,117.261,100,0,100,100,782.739,1
1,egress,106,S113,0,switch,98,287.103,0,287.103,100,0,100,100,1612.9,1
1,egress,55,S082,1,switch,99,149.721,0,149.721,100,0,100,100,1750.28,1
1,egress,32,S011,1,switch,33,168.312,0,168.312,100,0,100,100,731.688,1
1,egress,123,S102,1,switch,12,279.674,0,279.674,100,0,100,100,620.326,1
1,egress,103,S106,3,switch,110,119.281,0,119.281,100,0,100,100,780.719,1
1,egress,100,S056,1,switch,46,280.654,0,280.654,100,0,100,100,619.346,1
1,egress,19,S005,1,switch,15,212.416,0,212.416,100,0,100,100,687.584,1
1,egress,2,S049,1,switch,44,280.515,0,280.515,100,0,100,100,619.485,1
1,egress,110,S105,2,switch,103,111.344,0,111.344,100,0,100,100,788.656,1
1,egress,105,S060,0,switch,4,166.058,0,166.058,100,0,100,100,733.942,1
1,egress,72,S045,2,switch,83,100.637,0,100.637,0,100,100,100,899.363,0
1,egress,38,S014,0,switch,0,239.151,0,239.151,100,0,100,100,1660.85,1
1,egress,11,S095,1,switch,89,246.9,0,246.9,100,0,100,100,653.1,1
1,egress,61,S116,1,switch,97,117.429,0,117.429,100,0,100,100,1782.57,1
1,egress,7,S127,0,switch,0,121.689,0,121.689,100,0,100,100,1778.31,1
1,egress,98,S108,2,switch,97,161.77,0,161.77,100,0,100,100,738.23,1
1,egress,36,S114,1,switch,23,108.372,0,108.372,100,0,100,100,791.628,1
1,egress,33,S012,0,switch,32,293.496,0,293.496,100,0,100,100,606.504,1
1,egress,42,S032,0,switch,41,153.62,0,153.62,100,0,100,100,746.38,1
1,egress,99,S067,0,switch,66,174.708,0,174.708,100,0,100,100,725.292,1
1,egress,26,S122,0,switch,100,197.426,0,197.426,100,0,100,100,1702.57,1
1,egress,73,S034,0,switch,62,235.741,0,235.741,0,100,100,100,764.259,0
1,egress,68,S030,0,switch,53,109.864,0,109.864,100,0,100,100,1790.14,1
1,egress,57,S115,0,switch,47,171.739,0,171.739,100,0,100,100,1728.26,1
1,egress,94,S075,1,switch,115,106.121,0,106.121,100,0,100,100,793.879,1
1,egress,98,S108,1,switch,67,143.298,0,143.298,0,100,100,100,856.702,0
1,egress,45,S018,2,switch,47,256.768,0,256.768,100,0,100,100,1643.23,1
1,egress,69,S053,1,switch,72,126.404,0,126.404,100,0,100,100,773.596,1
1,egress,125,S112,0,switch,19,293.631,0,293.631,100,0,100,100,606.369,1
1,egress,23,S026,1,switch,50,108.308,0,108.308,100,0,100,100,791.692,1
1,egress,120,S094,0,switch,84,179.939,0,179.939,0,100,100,100,820.061,0
1,egress,93,S063,2,switch,109,259.679,0,259.679,100,0,100,100,640.321,1
1,egress,69,S053,0,switch,53,131.93,0,131.93,0,100,100,100,868.07,0
1,egress,127,S121,0,switch,111,153.051,0,153.051,100,0,100,100,746.949,1
1,egress,13,S119,0,switch,8,295.318,0,295.318,100,0,100,100,604.682,1
1,egress,125,S112,2,switch,122,217.628,0,217.628,0,100,100,100,782.372,0
1,egress,30,S036,1,switch,76,112.305,0,112.305,0,100,100,100,887.695,0
1,egress,104,S110,0,switch,29,170.836,0,170.836,100,0,100,100,729.164,1
1,egress,100,S056,0,switch,32,170.054,0,170.054,0,100,100,100,829.946,0
1,egress,21,S016,0,switch,19,143.755,0,143.755,100,0,100,100,756.245,1
1,egress,53,S029,0,switch,51,146.663,0,146.663,100,0,100,100,753.337,1
1,egress,115,S074,2,switch,70,235.982,0,235.982,0,100,100,100,764.018,0
1,egress,4,S059,4,switch,106,247.267,0,247.267,0,100,100,100,752.733,0
1,egress,50,S027,1,switch,23,266.441,0,266.441,100,0,100,100,633.559,1
1,egress,46,S019,3,switch,16,234.789,0,234.789,100,0,100,100,665.211,1
1,egress,117,S081,0,switch,45,147.475,0,147.475,100,0,100,100,752.525,1
1,egress,37,S013,3,switch,40,169.371,0,169.371,100,0,100,100,730.629,1
1,egress,15,S006,4,switch,24,221.74,0,221.74,100,0,100,100,678.26,1
1,egress,112,S079,4,switch,48,238.476,0,238.476,100,0,100,100,661.524,1
1,egress,17,S123,0,switch,9,227.172,0,227.172,100,0,100,100,672.828,1
1,egress,85,S046,1,switch,72,136.971,0,136.971,100,0,100,100,1763.03,1
1,egress,126,S118,0,switch,25,102.89,0,102.89,100,0,100,100,1797.11,1
1,egress,74,S035,1,switch,30,252.252,0,252.252,100,0,100,100,647.748,1
1,egress,118,S085,3,switch,119,142.16,0,142.16,100,0,100,100,757.84,1
1,egress,81,S100,0,switch,54,229.757,0,229.757,0,100,100,100,770.243,0
1,egress,39,S047,0,switch,8,221.258,0,221.258,100,0,100,100,1678.74,1
1,egress,64,S028,0,switch,50,145.823,0,145.823,100,0,100,100,754.177,1
1,egress,10,S084,2,switch,118,184.858,0,184.858,100,0,100,100,715.142,1
1,egress,90,S087,0,switch,6,108.162,0,108.162,100,0,100,100,1791.84,1
