/workspace/codes/build/src/model-net-fluid-flow-wan-random-traffic --sync=1 -- config.yaml 

Fri Jul 24 14:31:02 2026

ROSS Version: v8.1.0

tw_net_start: Found world size to be 1 
fluid-flow-wan config: workload=random-traffic switches=128 terminals=256 interval_seconds=10.000000 num_send_intervals=40 num_drain_intervals=20 backpressure_delay_ms=1.000000 flow_generation_every_n_intervals=4 random_flow_min_gbit=1000.000000 random_flow_max_gbit=4000.000000 output_data_unit=Gb buffer_mode=shared egress_model=statistical csv_logs=buffered-forward ross_message_size=32768 fluid_msg_size=30736

ROSS Core Configuration: 
	Total PEs                                                    1
	Total KPs                                          [Nodes (1) x KPs (16)] 16
	Total LPs                                                  384
	Simulation End Time                                31536000000000000.00
	LP-to-PE Mapping                                   model defined


ROSS Event Memory Allocation:
	Model events                                            393217
	Network events                                              16
	Total events                                            393232

*** START SEQUENTIAL SIMULATION ***

*** END SIMULATION ***

fluid-flow-wan gid=0 switch=0 name=S000 ports=9 shared_buffer_gbit=100.000000 received_fragments=7537 sent_fragments=7012 buffered_residual_gbit=3832.170960 sent_gbit=48255.481378 local_delivery_gbit=6672.314922 dropped_gbit=9505.710726 ready_queue_gbit=12.561942 shared_buffer_occupied_gbit=12.561942 pause_asserted=0 pause_updates_sent=62 pause_frames_sent=31 resume_frames_sent=31 pause_updates_received=24 pause_frames_received=12 resume_frames_received=12 total_pause_time_ms=133400.000000
fluid-flow-wan gid=1 switch=1 name=S001 ports=4 shared_buffer_gbit=100.000000 received_fragments=2795 sent_fragments=3378 buffered_residual_gbit=3366.587017 sent_gbit=23554.653367 local_delivery_gbit=6782.881426 dropped_gbit=4224.986464 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=56 pause_frames_sent=28 resume_frames_sent=28 pause_updates_received=26 pause_frames_received=13 resume_frames_received=13 total_pause_time_ms=132850.000000
fluid-flow-wan gid=2 switch=2 name=S049 ports=7 shared_buffer_gbit=100.000000 received_fragments=5273 sent_fragments=4340 buffered_residual_gbit=1097.687577 sent_gbit=47060.178058 local_delivery_gbit=7509.733789 dropped_gbit=6372.123498 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=14 pause_frames_sent=7 resume_frames_sent=7 pause_updates_received=44 pause_frames_received=22 resume_frames_received=22 total_pause_time_ms=217900.000000
fluid-flow-wan gid=3 switch=3 name=S055 ports=5 shared_buffer_gbit=100.000000 received_fragments=2359 sent_fragments=2827 buffered_residual_gbit=2722.750383 sent_gbit=23616.140250 local_delivery_gbit=5078.615986 dropped_gbit=3737.751593 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=32 pause_frames_sent=16 resume_frames_sent=16 pause_updates_received=6 pause_frames_received=3 resume_frames_received=3 total_pause_time_ms=38350.000000
fluid-flow-wan gid=4 switch=4 name=S059 ports=7 shared_buffer_gbit=100.000000 received_fragments=7048 sent_fragments=6758 buffered_residual_gbit=3413.320260 sent_gbit=40054.253593 local_delivery_gbit=4909.474342 dropped_gbit=10632.194255 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=64 pause_frames_sent=32 resume_frames_sent=32 pause_updates_received=26 pause_frames_received=13 resume_frames_received=13 total_pause_time_ms=182850.000000
fluid-flow-wan gid=5 switch=5 name=S083 ports=6 shared_buffer_gbit=100.000000 received_fragments=2748 sent_fragments=2313 buffered_residual_gbit=1097.295080 sent_gbit=27027.875720 local_delivery_gbit=5520.955619 dropped_gbit=5069.720869 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=20 pause_frames_sent=10 resume_frames_sent=10 pause_updates_received=20 pause_frames_received=10 resume_frames_received=10 total_pause_time_ms=174500.000000
fluid-flow-wan gid=6 switch=6 name=S086 ports=6 shared_buffer_gbit=100.000000 received_fragments=4922 sent_fragments=3584 buffered_residual_gbit=1349.641253 sent_gbit=32255.287680 local_delivery_gbit=5339.057992 dropped_gbit=6009.769459 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=16 pause_frames_sent=8 resume_frames_sent=8 pause_updates_received=50 pause_frames_received=25 resume_frames_received=25 total_pause_time_ms=246250.000000
fluid-flow-wan gid=7 switch=7 name=S127 ports=4 shared_buffer_gbit=100.000000 received_fragments=1455 sent_fragments=1521 buffered_residual_gbit=1644.972125 sent_gbit=13412.835783 local_delivery_gbit=6069.366267 dropped_gbit=3289.921184 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=20 pause_frames_sent=10 resume_frames_sent=10 pause_updates_received=18 pause_frames_received=9 resume_frames_received=9 total_pause_time_ms=155050.000000
fluid-flow-wan gid=8 switch=8 name=S002 ports=8 shared_buffer_gbit=100.000000 received_fragments=8066 sent_fragments=8146 buffered_residual_gbit=4995.222598 sent_gbit=55823.304785 local_delivery_gbit=7304.784765 dropped_gbit=13838.248407 ready_queue_gbit=80.847994 shared_buffer_occupied_gbit=80.847994 pause_asserted=1 pause_updates_sent=101 pause_frames_sent=51 resume_frames_sent=50 pause_updates_received=56 pause_frames_received=28 resume_frames_received=28 total_pause_time_ms=344600.000000
fluid-flow-wan gid=9 switch=9 name=S003 ports=8 shared_buffer_gbit=100.000000 received_fragments=6791 sent_fragments=6574 buffered_residual_gbit=3393.468823 sent_gbit=46926.268542 local_delivery_gbit=4975.671141 dropped_gbit=10930.076981 ready_queue_gbit=46.996377 shared_buffer_occupied_gbit=46.996377 pause_asserted=0 pause_updates_sent=58 pause_frames_sent=29 resume_frames_sent=29 pause_updates_received=49 pause_frames_received=25 resume_frames_received=24 total_pause_time_ms=256398.000000
fluid-flow-wan gid=10 switch=10 name=S084 ports=6 shared_buffer_gbit=100.000000 received_fragments=4335 sent_fragments=4171 buffered_residual_gbit=2637.007738 sent_gbit=35499.032402 local_delivery_gbit=6782.210425 dropped_gbit=9002.778800 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=38 pause_frames_sent=19 resume_frames_sent=19 pause_updates_received=34 pause_frames_received=17 resume_frames_received=17 total_pause_time_ms=200650.000000
