interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,generate_flow,47,S12.1,23,4,2220.62
0,generate_flow,5,S05.1,2,41,1247.76
0,generate_flow,53,S22.1,26,42,3205.05
0,generate_flow,7,S09.1,3,59,1213.99
0,generate_flow,55,S18.1,27,49,1210.43
0,generate_flow,18,S03.0,9,22,2786.62
0,generate_flow,56,S23.0,28,0,1176.88
0,generate_flow,28,S19.0,14,54,3220.33
0,generate_flow,49,S25.1,24,9,1359.94
0,generate_flow,34,S07.0,17,37,1215.15
0,generate_flow,60,S27.0,30,35,1327.3
0,generate_flow,24,S04.0,12,9,3136.3
0,generate_flow,37,S08.1,18,5,2948.29
0,generate_flow,27,S16.1,13,60,1377.76
0,generate_flow,35,S07.1,17,21,3850.52
0,generate_flow,12,S31.0,6,45,2258.36
0,generate_flow,46,S12.0,23,55,2545.51
0,generate_flow,58,S24.0,29,41,2452.25
0,generate_flow,29,S19.1,14,23,3578.86
0,generate_flow,41,S14.1,20,1,3183.54
0,generate_flow,14,S02.0,7,9,3224.84
0,generate_flow,0,S00.0,0,40,2579.91
0,generate_flow,57,S23.1,28,63,2613.08
0,generate_flow,13,S31.1,6,37,2144.6
0,generate_flow,10,S26.0,5,49,3575.77
0,generate_flow,31,S30.1,15,58,2314
0,generate_flow,32,S06.0,16,0,1182.57
0,generate_flow,26,S16.0,13,56,2997.42
0,generate_flow,4,S05.0,2,15,2645.02
0,generate_flow,52,S22.0,26,53,3856.75
0,generate_flow,8,S11.0,4,40,2759.33
0,generate_flow,61,S27.1,30,62,2597.57
0,generate_flow,40,S14.0,20,23,1253.1
0,generate_flow,59,S24.1,29,35,2045.63
0,generate_flow,17,S20.1,8,18,1841.48
0,generate_flow,3,S01.1,1,6,1979.92
0,generate_flow,63,S28.1,31,52,2178.15
0,generate_flow,44,S29.0,22,7,3808.18
0,generate_flow,20,S17.0,10,41,2595.18
0,generate_flow,22,S21.0,11,54,2921.52
0,generate_flow,11,S26.1,5,15,1612.73
0,generate_flow,38,S10.0,19,22,2830.73
0,generate_flow,33,S06.1,16,18,3001.53
0,generate_flow,1,S00.1,0,43,1401.12
0,generate_flow,21,S17.1,10,2,1136.02
0,generate_flow,39,S10.1,19,32,2504.19
0,generate_flow,16,S20.0,8,19,1711.96
0,generate_flow,62,S28.0,31,49,3830.71
0,generate_flow,15,S02.1,7,16,1506.25
0,generate_flow,30,S30.0,15,4,2638.81
0,generate_flow,23,S21.1,11,37,3813.42
0,generate_flow,19,S03.1,9,41,3822.76
0,generate_flow,9,S11.1,4,25,1996.43
0,generate_flow,45,S29.1,22,55,3906.96
0,generate_flow,54,S18.0,27,40,2344.5
0,generate_flow,51,S15.1,25,41,2013.69
0,generate_flow,48,S25.0,24,43,3068.58
0,generate_flow,6,S09.0,3,20,1904.76
0,generate_flow,2,S01.0,1,52,1948.97
0,generate_flow,36,S08.0,18,15,3848.58
0,generate_flow,50,S15.0,25,8,2019.27
0,generate_flow,43,S13.1,21,34,3006.68
0,generate_flow,25,S04.1,12,60,2450.63
0,generate_flow,42,S13.0,21,48,3862.67
0,send,54,S18.0,27,40,1000
0,send,29,S19.1,14,23,1000
0,send,53,S22.1,26,42,1000
0,send,20,S17.0,10,41,1000
0,send,44,S29.0,22,7,1000
0,send,39,S10.1,19,32,1000
0,send,4,S05.0,2,15,1000
0,send,35,S07.1,17,21,1000
0,send,16,S20.0,8,19,1000
0,send,36,S08.0,18,15,1000
0,send,14,S02.0,7,9,1000
0,send,59,S24.1,29,35,1000
0,send,33,S06.1,16,18,1000
0,send,48,S25.0,24,43,1000
0,send,24,S04.0,12,9,1000
0,send,42,S13.0,21,48,1000
0,send,56,S23.0,28,0,1000
0,send,3,S01.1,1,6,1000
0,send,17,S20.1,8,18,1000
0,send,27,S16.1,13,60,1000
0,send,5,S05.1,2,41,1000
0,send,1,S00.1,0,43,1000
0,send,34,S07.0,17,37,1000
0,send,63,S28.1,31,52,1000
0,send,45,S29.1,22,55,1000
0,send,11,S26.1,5,15,1000
0,send,28,S19.0,14,54,1000
0,send,37,S08.1,18,5,1000
0,send,10,S26.0,5,49,1000
0,send,19,S03.1,9,41,1000
0,send,13,S31.1,6,37,1000
0,send,57,S23.1,28,63,1000
0,send,9,S11.1,4,25,1000
0,send,6,S09.0,3,20,1000
0,send,2,S01.0,1,52,1000
0,send,0,S00.0,0,40,1000
0,send,25,S04.1,12,60,1000
0,send,30,S30.0,15,4,1000
0,send,46,S12.0,23,55,1000
0,send,51,S15.1,25,41,1000
0,send,26,S16.0,13,56,1000
0,send,22,S21.0,11,54,1000
0,send,43,S13.1,21,34,1000
0,send,55,S18.1,27,49,1000
0,send,8,S11.0,4,40,1000
0,send,47,S12.1,23,4,1000
0,send,32,S06.0,16,0,1000
0,send,50,S15.0,25,8,1000
0,send,21,S17.1,10,2,1000
0,send,38,S10.0,19,22,1000
0,send,58,S24.0,29,41,1000
