interval,event,switch,switch_name,port,target_type,target_index,capacity_gbit,queued_before_gbit,sent_gbit,queued_after_gbit,shared_queued_before_gbit,shared_queued_after_gbit,shared_buffer_gbit,dropped_gbit,active_queue_entries
1,egress,11,S21,2,switch,8,146.462,0,146.462,100,0,100,100,245.69,1
1,egress,21,S13,1,switch,23,248.906,0,248.906,100,0,100,100,237.361,1
1,egress,14,S19,2,switch,8,146.524,0,146.524,100,0,100,100,311.362,1
1,egress,26,S22,3,terminal,53,1000,0,585.675,0,0,0,100,0,0
1,egress,19,S10,0,switch,3,137.994,0,137.994,100,0,100,100,212.425,1
1,egress,16,S06,1,switch,12,131.235,0,131.235,100,0,100,100,268.918,1
1,egress,11,S21,1,switch,20,122.733,0,122.733,0,100,100,100,458.609,0
1,egress,31,S28,0,switch,30,145.823,0,145.823,100,0,100,100,755.063,1
1,egress,2,S05,0,switch,7,200.84,0,200.84,100,0,100,100,488.438,1
1,egress,20,S14,3,switch,11,184.858,0,184.858,100,0,100,100,40.4518,1
1,egress,17,S07,1,switch,18,291.613,0,291.613,29.9021,0,29.9021,100,0,1
1,egress,18,S08,0,switch,17,182.424,0,182.424,100,0,100,100,797.263,1
1,egress,9,S03,0,switch,7,132.338,0,132.338,100,0,100,100,828.6,1
1,egress,16,S06,0,switch,1,202.575,0,202.575,0,100,100,100,115.682,0
1,egress,17,S07,0,switch,16,118.259,0,118.259,70.0979,29.9021,100,100,396.695,1
1,egress,4,S11,3,switch,23,168.312,0,168.312,100,0,100,100,131.331,1
1,egress,13,S16,2,switch,25,119.9,0,119.9,100,0,100,100,117.876,1
1,egress,15,S30,0,switch,9,153.026,0,153.026,100,0,100,100,642.256,1
1,egress,4,S11,2,switch,19,104.704,0,104.704,0,100,100,100,371.229,0
1,egress,21,S13,0,switch,19,234.552,0,234.552,0,100,100,100,266.116,0
1,egress,25,S15,1,switch,20,254.167,0,254.167,100,0,100,100,47.2024,1
