interval,event,switch,switch_name,port,target_type,target_index,capacity_gbit,queued_before_gbit,sent_gbit,queued_after_gbit,shared_queued_before_gbit,shared_queued_after_gbit,shared_buffer_gbit,dropped_gbit,active_queue_entries
1,egress,0,S00,0,switch,1,183.324,0,183.324,100,0,100,100,716.676,1
1,egress,19,S06,3,switch,10,169.014,0,169.014,100,0,100,100,730.986,1
1,egress,31,S62,2,switch,10,234.199,0,234.199,100,0,100,100,665.801,1
1,egress,14,S58,0,switch,11,169.38,0,169.38,100,0,100,100,730.62,1
1,egress,61,S46,1,switch,57,199.213,0,199.213,100,0,100,100,1700.79,1
1,egress,23,S39,3,switch,13,140.319,0,140.319,100,0,100,100,759.681,1
1,egress,31,S62,0,switch,29,171.288,0,171.288,0,100,100,100,828.712,0
1,egress,14,S58,2,switch,34,224.263,0,224.263,0,100,100,100,775.737,0
1,egress,52,S30,0,switch,28,196.927,0,196.927,100,0,100,100,703.073,1
1,egress,5,S63,2,switch,31,151.987,0,151.987,100,0,100,100,748.013,1
1,egress,34,S57,2,switch,14,113.541,0,113.541,100,0,100,100,786.459,1
1,egress,44,S23,0,switch,43,211.017,0,211.017,100,0,100,100,1688.98,1
1,egress,1,S01,0,switch,0,159.728,0,159.728,100,0,100,100,740.272,1
1,egress,25,S16,1,switch,20,119.9,0,119.9,100,0,100,100,1780.1,1
1,egress,21,S53,0,switch,15,263.511,0,263.511,100,0,100,100,636.489,1
1,egress,24,S08,1,switch,27,295.728,0,295.728,100,0,100,100,604.272,1
1,egress,34,S57,0,switch,20,180.835,0,180.835,0,100,100,100,819.165,0
1,egress,37,S32,0,switch,0,103.31,0,103.31,100,0,100,100,1796.69,1
1,egress,52,S30,1,switch,40,109.864,0,109.864,0,100,100,100,890.136,0
1,egress,51,S48,0,switch,57,201.033,0,201.033,100,0,100,100,1698.97,1
1,egress,38,S42,1,switch,40,122.733,0,122.733,100,0,100,100,777.267,1
1,egress,28,S12,0,switch,16,293.496,0,293.496,100,0,100,100,606.504,1
1,egress,4,S37,3,switch,50,165.152,0,165.152,100,0,100,100,734.848,1
1,egress,0,S00,2,switch,3,149.8,0,149.8,0,100,100,100,850.2,0
1,egress,7,S45,0,switch,27,292,0,292,100,0,100,100,1608,1
1,egress,48,S50,2,switch,58,290.959,0,290.959,100,0,100,100,609.041,1
1,egress,18,S43,0,switch,38,157.659,0,157.659,100,0,100,100,742.341,1
