interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,generate_flow,14,S45.0,7,32,2545.51
0,generate_flow,2,S01.0,1,7,1215.15
0,generate_flow,25,S04.1,12,37,2613.08
0,generate_flow,126,S54.0,63,86,3345.22
0,generate_flow,22,S03.0,11,123,2344.5
0,generate_flow,63,S62.1,31,72,2718.75
0,generate_flow,127,S54.1,63,3,3677.87
0,generate_flow,40,S15.0,20,73,2352.16
0,generate_flow,88,S23.0,44,119,1863.09
0,generate_flow,121,S44.1,60,91,1909.37
0,generate_flow,89,S23.1,44,86,1316.54
0,generate_flow,26,S40.0,13,121,2452.25
0,generate_flow,67,S34.1,33,64,1828.53
0,generate_flow,83,S49.1,41,3,1894.18
0,generate_flow,66,S34.0,33,40,2203.48
0,generate_flow,32,S11.0,16,17,3156.77
0,generate_flow,96,S50.0,48,57,3833.74
0,generate_flow,48,S08.0,24,36,3496.06
0,generate_flow,75,S32.1,37,47,2892.96
0,generate_flow,105,S30.1,52,43,2728.13
0,generate_flow,93,S24.1,46,10,3726.44
0,generate_flow,52,S33.0,26,24,3989.22
0,generate_flow,65,S21.1,32,48,2530.53
0,generate_flow,11,S63.1,5,121,3006.68
0,generate_flow,68,S57.0,34,88,3664.53
0,generate_flow,82,S49.0,41,16,1290.78
0,generate_flow,71,S17.1,35,8,1419.47
0,generate_flow,122,S46.0,61,65,2498.96
0,generate_flow,17,S52.1,8,64,1359.94
0,generate_flow,91,S28.1,45,53,3094.77
0,generate_flow,31,S05.1,15,9,2178.15
0,generate_flow,43,S53.1,21,39,2758.22
0,generate_flow,44,S07.0,22,14,1021.19
0,generate_flow,109,S31.1,54,1,1530.92
0,generate_flow,125,S56.1,62,19,1561.56
0,generate_flow,49,S08.1,24,118,3367.08
0,generate_flow,37,S43.1,18,14,2733.51
0,generate_flow,0,S00.0,0,64,1182.57
0,generate_flow,28,S58.0,14,106,1327.3
0,generate_flow,101,S38.1,50,52,1001.2
0,generate_flow,107,S55.1,53,99,1688.4
0,generate_flow,4,S10.0,2,90,3848.58
0,generate_flow,115,S47.1,57,14,1312.95
0,generate_flow,27,S40.1,13,106,2045.63
0,generate_flow,62,S62.0,31,83,3096.56
0,generate_flow,123,S46.1,61,66,2763.17
0,generate_flow,102,S48.0,51,115,3064.76
0,generate_flow,98,S26.0,49,12,1788.02
0,generate_flow,58,S13.0,29,66,2530.83
0,generate_flow,120,S44.0,60,114,3718.81
0,generate_flow,42,S53.0,21,90,3128.32
0,generate_flow,51,S16.1,25,10,2220.31
0,generate_flow,70,S17.0,35,63,2169.36
0,generate_flow,110,S60.0,55,25,1016.35
0,generate_flow,35,S35.1,17,98,3846.09
0,generate_flow,69,S57.1,34,28,1126.25
0,generate_flow,112,S36.0,56,22,3514.85
0,generate_flow,59,S13.1,29,11,2859.35
0,generate_flow,50,S16.0,25,58,3876.06
