point,model,repeat,hosts,target_gbit,runtime_sec,net_events,net_event_rate_per_sec,events_per_simulated_gbit,simulated_gbit_per_wall_sec,peak_rss_kb
small,fluid,1,1056,2.214592512,0.1598,48576,303979.9749687109,21934.50927734375,13.858526357947433,12931708
small,fluid,2,1056,2.214592512,0.1597,48576,304170.3193487789,21934.50927734375,13.867204207889792,12931884
small,fluid,3,1056,2.214592512,0.1596,48576,304360.9022556391,21934.50927734375,13.875892932330826,12931944
small,packet,1,1056,2.214592512,124.22,124889416,1005388.9550796973,56393858.158227175,0.017827986733215263,9511192
small,packet,2,1056,2.214592512,124.0278,124889416,1006946.9586657184,56393858.158227175,0.017855613918814975,9511328
small,packet,3,1056,2.214592512,124.5774,124889416,1002504.5955365901,56393858.158227175,0.0177768400367964,9511172
medium,fluid,1,1056,4.429185024,0.1603,48576,303031.8153462258,10967.254638671875,27.6305990268247,12931800
medium,fluid,2,1056,4.429185024,0.1584,48576,306666.6666666666,10967.254638671875,27.962026666666663,12931996
medium,fluid,3,1056,4.429185024,0.1594,48576,304742.78544542036,10967.254638671875,27.78660617314931,12931868
medium,packet,1,1056,4.429185024,251.0243,249788683,995077.6996489981,56396082.26942294,0.017644447266659043,12225328
medium,packet,2,1056,4.429185024,252.5357,249788683,989122.262713747,56396082.26942294,0.017538847077858695,12225456
medium,packet,3,1056,4.429185024,253.1671,249788683,986655.3868966385,56396082.26942294,0.017495105106469205,12225332
large,fluid,1,1056,8.858370048,0.1591,48576,305317.41043368954,5483.6273193359375,55.67800155876807,12931844
large,fluid,2,1056,8.858370048,0.1599,48576,303789.8686679175,5483.6273193359375,55.39943744840525,12932008
large,fluid,3,1056,8.858370048,0.1597,48576,304170.3193487789,5483.6273193359375,55.46881683155917,12931920
large,packet,1,1056,8.858370048,505.515,499587122,988273.5863426407,56397183.60070027,0.017523456372214474,17664372
large,packet,2,1056,8.858370048,507.9988,499587122,983441.5396256841,56397183.60070027,0.017437777506561038,17664244
large,packet,3,1056,8.858370048,507.4983,499587122,984411.4197032779,56397183.60070027,0.01745497482060531,17664188
