interval,event,switch,switch_name,port,target_type,target_index,flow_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,0,S0,0,switch,1,2,1,3,0,1,10,0,0,5.57,0
1,stage_arrival,0,S0,0,switch,1,1,0,2,0,1,10,0,0,5.57,0
1,allocate_send_arrival,0,S0,0,switch,1,2,1,3,0,1,10,0,5,0.57,0
1,enqueue_residual,0,S0,0,switch,1,2,1,3,0,1,10,0,0,0.57,0
1,allocate_send_arrival,0,S0,0,switch,1,1,0,2,0,1,10,0,5,0.57,0
1,enqueue_residual,0,S0,0,switch,1,1,0,2,0,1,10,0,0,0.57,0
2,allocate_send_buffered,0,S0,0,switch,1,2,1,3,0,2,10,1.14,0.57,0,0
2,allocate_send_buffered,0,S0,0,switch,1,1,0,2,0,2,10,1.14,0.57,0,0
2,stage_arrival,1,S1,2,terminal,3,2,1,3,0,2,100,0,0,5,0
2,stage_arrival,0,S0,0,switch,1,1,0,2,0,2,10,0,0,4.43,0
2,stage_arrival,0,S0,0,switch,1,2,1,3,0,2,10,0,0,4.43,0
2,stage_arrival,1,S1,1,terminal,2,1,0,2,0,2,100,0,0,5,0
2,allocate_send_arrival,1,S1,2,terminal,3,2,1,3,0,2,100,0,5,0,0
2,allocate_send_arrival,1,S1,1,terminal,2,1,0,2,0,2,100,0,5,0,0
2,allocate_send_arrival,0,S0,0,switch,1,1,0,2,0,2,10,0,4.43,0,0
2,allocate_send_arrival,0,S0,0,switch,1,2,1,3,0,2,10,0,4.43,0,0
3,stage_arrival,1,S1,2,terminal,3,2,1,3,0,3,100,0,0,4.43,0
3,stage_arrival,1,S1,1,terminal,2,1,0,2,0,3,100,0,0,4.43,0
3,stage_arrival_coalesce,1,S1,2,terminal,3,2,1,3,0,3,100,0,0,5,0
3,stage_arrival_coalesce,1,S1,1,terminal,2,1,0,2,0,3,100,0,0,5,0
3,allocate_send_arrival,1,S1,2,terminal,3,2,1,3,0,3,100,0,5,0,0
3,allocate_send_arrival,1,S1,1,terminal,2,1,0,2,0,3,100,0,5,0,0
